bio,lemmatized_tokens,flag_classification,reason
cat mom 🐱,"['cat', 'mom']",🤷‍♂️No Clear Signal,[]
memes all day,"['meme', 'day']",🤷‍♂️No Clear Signal,[]
"Bad at cooking, good at eating.","['bad', 'cooking', 'good', 'eating']",🚩Red Flag,['bad']
"Slightly sarcastic, mostly charming. 😏","['slightly', 'sarcastic', 'mostly', 'charming']",🤷‍♂️No Clear Signal,[]
Passionate about music festivals and street food.,"['passionate', 'music', 'festival', 'street', 'food']",🤷‍♂️No Clear Signal,[]
might ghost u,"['might', 'ghost', 'u']",🚩Red Flag,['ghost']
Fluent in memes and sarcasm.,"['fluent', 'meme', 'sarcasm']",🙂Mixed Signal,"['fluent', 'sarcasm']"
brunch over feelings,"['brunch', 'feeling']",🚩Red Flag,['brunch']
i talk too fast,"['talk', 'fast']",🤷‍♂️No Clear Signal,[]
"I flirt shamelessly, love dangerously.","['flirt', 'shamelessly', 'love', 'dangerously']",🙂Mixed Signal,"['love', 'flirt']"
just me,[],🤷‍♂️No Clear Signal,[]
"if i delete hinge again, blame men","['delete', 'hinge', 'blame', 'men']",🚩Red Flag,['blame']
i panic sometimes,"['panic', 'sometimes']",🤷‍♂️No Clear Signal,[]
music is my therapy,"['music', 'therapy']",🤷‍♂️No Clear Signal,[]
caffeine first,"['caffeine', 'first']",🤷‍♂️No Clear Signal,[]
"coffee first, questions later","['coffee', 'first', 'question', 'later']",🌿Green Flag,['coffee']
i like sushi,"['like', 'sushi']",🤷‍♂️No Clear Signal,[]
lowkey creepy,"['lowkey', 'creepy']",🤷‍♂️No Clear Signal,[]
"Dog cuddler, human tester.","['dog', 'cuddler', 'human', 'tester']",🌿Green Flag,"['dog', 'human']"
talks too much,"['talk', 'much']",🤷‍♂️No Clear Signal,[]
messy vibes 24/7,"['messy', 'vibe']",🚩Red Flag,['messy']
"Gym enthusiast, sometimes moody.","['gym', 'enthusiast', 'sometimes', 'moody']",🌿Green Flag,['enthusiast']
coffee > everything,"['coffee', 'everything']",🌿Green Flag,['coffee']
"Might ghost you, but I’ll text back when I miss you. 😅","['might', 'ghost', 'ill', 'text', 'back', 'miss']",🚩Red Flag,['ghost']
I can quote entire TV shows uselessly,"['quote', 'entire', 'tv', 'show', 'uselessly']",🤷‍♂️No Clear Signal,[]
Dog cuddles > everything else 🐶💖,"['dog', 'cuddle', 'everything', 'else']",🌿Green Flag,['dog']
"Coffee, chaos, and cuddles.","['coffee', 'chaos', 'cuddle']",🙂Mixed Signal,"['coffee', 'chaos']"
coffee addict ☕,"['coffee', 'addict']",🌿Green Flag,['coffee']
"I’ll roast you, then give dessert.","['ill', 'roast', 'give', 'dessert']",🤷‍♂️No Clear Signal,[]
"Dreaming big, napping often.","['dreaming', 'big', 'napping', 'often']",🤷‍♂️No Clear Signal,[]
"Night owl, meme hoarder, snack lover.","['night', 'owl', 'meme', 'hoarder', 'snack', 'lover']",🌿Green Flag,['lover']
chill but mysterious,"['chill', 'mysterious']",🌿Green Flag,['chill']
"I ghost for fun, return for drama.","['ghost', 'fun', 'return', 'drama']",🚩Red Flag,"['ghost', 'drama']"
"full-time dog lover, part-time sunset chaser 🐶🌅","['fulltime', 'dog', 'lover', 'parttime', 'sunset', 'chaser']",🌿Green Flag,"['dog', 'lover']"
funny but lowkey rude,"['funny', 'lowkey', 'rude']",🤷‍♂️No Clear Signal,[]
I cry at movies… sometimes happily. 😭,"['cry', 'movie', 'sometimes', 'happily']",🤷‍♂️No Clear Signal,[]
"Obsessed with dogs, sunsets, and street food.","['obsessed', 'dog', 'sunset', 'street', 'food']",🙂Mixed Signal,"['dog', 'obsessed']"
i'm emotionally intelligent. just not emotionally available,"['im', 'emotionally', 'intelligent', 'emotionally', 'available']",🌿Green Flag,['intelligent']
chill vibes only,"['chill', 'vibe']",🌿Green Flag,['chill']
Amateur painter looking for inspiration and snacks.,"['amateur', 'painter', 'looking', 'inspiration', 'snack']",🤷‍♂️No Clear Signal,[]
"I tease, I cuddle, I judge. 😈🤗","['tease', 'cuddle', 'judge']",🤷‍♂️No Clear Signal,[]
adventurous but lazy,"['adventurous', 'lazy']",🤷‍♂️No Clear Signal,[]
lowkey romantic. highkey stable.,"['lowkey', 'romantic', 'highkey', 'stable']",🌿Green Flag,"['romantic', 'stable']"
awkward but cute,"['awkward', 'cute']",🤷‍♂️No Clear Signal,[]
"Gym enthusiast, avoids serious talks.","['gym', 'enthusiast', 'avoids', 'serious', 'talk']",🌿Green Flag,['enthusiast']
"Yoga lover, pizza believer.","['yoga', 'lover', 'pizza', 'believer']",🌿Green Flag,"['lover', 'pizza']"
been single so long I forgot how to flirt,"['single', 'long', 'forgot', 'flirt']",🚩Red Flag,['flirt']
love memes,"['love', 'meme']",🌿Green Flag,['love']
"Foodie, sometimes manipulative.","['foodie', 'sometimes', 'manipulative']",🤷‍♂️No Clear Signal,[]
"i ghost, dont worry","['ghost', 'dont', 'worry']",🙂Mixed Signal,"['dont', 'ghost']"
love sarcasm & chaos,"['love', 'sarcasm', 'chaos']",🙂Mixed Signal,"['love', 'sarcasm', 'chaos']"
I’ll always ask how your day went — and actually listen,"['ill', 'always', 'ask', 'day', 'went', 'actually', 'listen']",🌿Green Flag,['always']
"i ghost sometimes, deal","['ghost', 'sometimes', 'deal']",🚩Red Flag,['ghost']
sarcasm queen,"['sarcasm', 'queen']",🚩Red Flag,['sarcasm']
i nap 12 hrs sometimes,"['nap', 'hr', 'sometimes']",🤷‍♂️No Clear Signal,[]
"Let’s laugh, learn, and be soft together","['let', 'laugh', 'learn', 'soft', 'together']",🌿Green Flag,"['laugh', 'soft']"
Dog park regular seeking playdate partner.,"['dog', 'park', 'regular', 'seeking', 'playdate', 'partner']",🌿Green Flag,['dog']
"Adventure seeker, meme dealer. 🏔️😂","['adventure', 'seeker', 'meme', 'dealer']",🤷‍♂️No Clear Signal,[]
Amateur chef with a taste for adventure.,"['amateur', 'chef', 'taste', 'adventure']",🤷‍♂️No Clear Signal,[]
"yes to laughter, yes to loyalty","['yes', 'laughter', 'yes', 'loyalty']",🌿Green Flag,['loyalty']
quiet but savage,"['quiet', 'savage']",🌿Green Flag,['quiet']
"Dog whisperer, human negotiator 🐶","['dog', 'whisperer', 'human', 'negotiator']",🌿Green Flag,"['dog', 'human']"
"Pizza first, life second","['pizza', 'first', 'life', 'second']",🌿Green Flag,"['pizza', 'life']"
pizza lover forever,"['pizza', 'lover', 'forever']",🌿Green Flag,"['pizza', 'lover']"
dogs > people,"['dog', 'people']",🌿Green Flag,['dog']
coffee addict ☕,"['coffee', 'addict']",🌿Green Flag,['coffee']
casual vibes only,"['casual', 'vibe']",🤷‍♂️No Clear Signal,[]
i dance alone,"['dance', 'alone']",🤷‍♂️No Clear Signal,[]
i overthink things and then talk about them openly,"['overthink', 'thing', 'talk', 'openly']",🚩Red Flag,['overthink']
obsessed w memes,"['obsessed', 'w', 'meme']",🚩Red Flag,['obsessed']
i swipe right for food,"['swipe', 'right', 'food']",🤷‍♂️No Clear Signal,[]
"Foodie, sometimes judgmental.","['foodie', 'sometimes', 'judgmental']",🤷‍♂️No Clear Signal,[]
"not emotionally available, but down to talk","['emotionally', 'available', 'talk']",🤷‍♂️No Clear Signal,[]
Sweet but dangerous if crossed.,"['sweet', 'dangerous', 'crossed']",🤷‍♂️No Clear Signal,[]
late but dramatic,"['late', 'dramatic']",🚩Red Flag,['dramatic']
Professional Netflix marathoner,"['professional', 'netflix', 'marathoner']",🌿Green Flag,['professional']
panic at random times,"['panic', 'random', 'time']",🤷‍♂️No Clear Signal,[]
"Wine snob, cheese lover, secret softie. 🍷🧀","['wine', 'snob', 'cheese', 'lover', 'secret', 'softie']",🌿Green Flag,['lover']
"Fluent in sarcasm, movie quotes, and bad jokes.","['fluent', 'sarcasm', 'movie', 'quote', 'bad', 'joke']",🙂Mixed Signal,"['fluent', 'sarcasm', 'bad']"
coffee > life,"['coffee', 'life']",🌿Green Flag,"['coffee', 'life']"
tacos & memes,"['taco', 'meme']",🤷‍♂️No Clear Signal,[]
"Night owl, coffee enthusiast.","['night', 'owl', 'coffee', 'enthusiast']",🌿Green Flag,"['coffee', 'enthusiast']"
messy but fun,"['messy', 'fun']",🚩Red Flag,['messy']
"Explorer at heart, grounded in reality.","['explorer', 'heart', 'grounded', 'reality']",🌿Green Flag,['grounded']
"I roast, then hug it out.","['roast', 'hug']",🤷‍♂️No Clear Signal,[]
swipe if you don’t believe in therapy,"['swipe', 'dont', 'believe', 'therapy']",🌿Green Flag,['dont']
don’t even bother,"['dont', 'even', 'bother']",🌿Green Flag,['dont']
naps are my superpower,"['nap', 'superpower']",🤷‍♂️No Clear Signal,[]
"I flirt shamelessly, think deeply.","['flirt', 'shamelessly', 'think', 'deeply']",🚩Red Flag,['flirt']
i ghost but loyal,"['ghost', 'loyal']",🚩Red Flag,['ghost']
"I’ll roast you, then make it up with dessert.","['ill', 'roast', 'make', 'dessert']",🤷‍♂️No Clear Signal,[]
"Occasional sweet, frequent chaos.","['occasional', 'sweet', 'frequent', 'chaos']",🚩Red Flag,['chaos']
drama magnet,"['drama', 'magnet']",🚩Red Flag,['drama']
"Amateur dancer, coffee enthusiast.","['amateur', 'dancer', 'coffee', 'enthusiast']",🌿Green Flag,"['coffee', 'enthusiast']"
"I love spontaneous road trips, but I ghost people who overthink.","['love', 'spontaneous', 'road', 'trip', 'ghost', 'people', 'overthink']",🙂Mixed Signal,"['love', 'ghost', 'overthink']"
I trip over flat surfaces,"['trip', 'flat', 'surface']",🤷‍♂️No Clear Signal,[]
"love sarcasm, hate liars","['love', 'sarcasm', 'hate', 'liar']",🙂Mixed Signal,"['love', 'sarcasm']"
I overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
Flirting like it’s my full-time job,"['flirting', 'like', 'fulltime', 'job']",🤷‍♂️No Clear Signal,[]
Cat mom/dad looking for fellow animal lover.,"['cat', 'momdad', 'looking', 'fellow', 'animal', 'lover']",🌿Green Flag,['lover']
"Gamer, foodie, chaos lover.","['gamer', 'foodie', 'chaos', 'lover']",🙂Mixed Signal,"['lover', 'chaos']"
"Sweet talker, occasional manipulator. 😏💋","['sweet', 'talker', 'occasional', 'manipulator']",🤷‍♂️No Clear Signal,[]
"Music over everything, but I’ll hum your favorite. 🎧🎵","['music', 'everything', 'ill', 'hum', 'favorite']",🤷‍♂️No Clear Signal,[]
"big heart, messy life","['big', 'heart', 'messy', 'life']",🙂Mixed Signal,"['life', 'messy']"
Life’s too short for bad coffee ☕🔥,"['life', 'short', 'bad', 'coffee']",🙂Mixed Signal,"['life', 'coffee', 'bad']"
LOVES cats and pizza,"['love', 'cat', 'pizza']",🌿Green Flag,"['love', 'pizza']"
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
honestly confused,"['honestly', 'confused']",🤷‍♂️No Clear Signal,[]
"Gamer, sometimes moody.","['gamer', 'sometimes', 'moody']",🤷‍♂️No Clear Signal,[]
obsessed w candles,"['obsessed', 'w', 'candle']",🚩Red Flag,['obsessed']
coffee & pizza forever,"['coffee', 'pizza', 'forever']",🌿Green Flag,"['coffee', 'pizza']"
"Yoga enthusiast, but a terrible communicator.","['yoga', 'enthusiast', 'terrible', 'communicator']",🌿Green Flag,['enthusiast']
overthinker & chaotic,"['overthinker', 'chaotic']",🤷‍♂️No Clear Signal,[]
"Loves meditation, manipulative sometimes.","['love', 'meditation', 'manipulative', 'sometimes']",🌿Green Flag,['love']
Loves spontaneous adventures and bad decisions.,"['love', 'spontaneous', 'adventure', 'bad', 'decision']",🙂Mixed Signal,"['love', 'bad']"
sarcasm 24/7,['sarcasm'],🚩Red Flag,['sarcasm']
tacos over hugs,"['taco', 'hug']",🤷‍♂️No Clear Signal,[]
it’s giving: red flag with good vibes,"['giving', 'red', 'flag', 'good', 'vibe']",🚩Red Flag,['flag']
introvert but sometimes extra,"['introvert', 'sometimes', 'extra']",🤷‍♂️No Clear Signal,[]
probably procrastinating rn,"['probably', 'procrastinating', 'rn']",🤷‍♂️No Clear Signal,[]
"I’ll steal your fries, maybe your heart.","['ill', 'steal', 'fry', 'maybe', 'heart']",🚩Red Flag,['steal']
Could cuddle forever… or leave randomly. 🤗🏃‍♂️,"['could', 'cuddle', 'forever', 'leave', 'randomly']",🤷‍♂️No Clear Signal,[]
binge watch forever,"['binge', 'watch', 'forever']",🤷‍♂️No Clear Signal,[]
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
obsessed w reality tv,"['obsessed', 'w', 'reality', 'tv']",🚩Red Flag,['obsessed']
cute girl. bad choices,"['cute', 'girl', 'bad', 'choice']",🚩Red Flag,['bad']
loves writing random stuff,"['love', 'writing', 'random', 'stuff']",🌿Green Flag,['love']
Introvert with social battery issues,"['introvert', 'social', 'battery', 'issue']",🤷‍♂️No Clear Signal,[]
"Sweet chaos, occasional tears.","['sweet', 'chaos', 'occasional', 'tear']",🚩Red Flag,['chaos']
match me if you like problems,"['match', 'like', 'problem']",🤷‍♂️No Clear Signal,[]
"Adventure junkie, flaky.","['adventure', 'junkie', 'flaky']",🤷‍♂️No Clear Signal,[]
coffee & chaos,"['coffee', 'chaos']",🙂Mixed Signal,"['coffee', 'chaos']"
i scream in car,"['scream', 'car']",🤷‍♂️No Clear Signal,[]
DramaFreeQueen,['dramafreequeen'],🤷‍♂️No Clear Signal,[]
"Obsessed with dogs, coffee, and chaos 🐶☕😂","['obsessed', 'dog', 'coffee', 'chaos']",🙂Mixed Signal,"['dog', 'coffee', 'obsessed', 'chaos']"
"Yoga enthusiast, ghosted recently.","['yoga', 'enthusiast', 'ghosted', 'recently']",🌿Green Flag,['enthusiast']
Fluent in movie quotes and awkward humor.,"['fluent', 'movie', 'quote', 'awkward', 'humor']",🌿Green Flag,['fluent']
"Professional procrastinator, expert napper","['professional', 'procrastinator', 'expert', 'napper']",🌿Green Flag,['professional']
talk to me maybe,"['talk', 'maybe']",🤷‍♂️No Clear Signal,[]
i wear hoodies always,"['wear', 'hoodies', 'always']",🌿Green Flag,['always']
gym vibes only,"['gym', 'vibe']",🤷‍♂️No Clear Signal,[]
I like tacos more than people,"['like', 'taco', 'people']",🤷‍♂️No Clear Signal,[]
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
pizza over everything,"['pizza', 'everything']",🌿Green Flag,['pizza']
loves attention,"['love', 'attention']",🙂Mixed Signal,"['love', 'attention']"
Currently avoiding adulthood at all costs,"['currently', 'avoiding', 'adulthood', 'cost']",🤷‍♂️No Clear Signal,[]
introvert with occasional extrovert mode,"['introvert', 'occasional', 'extrovert', 'mode']",🤷‍♂️No Clear Signal,[]
"Obsessed with dogs, sunsets, and spontaneity","['obsessed', 'dog', 'sunset', 'spontaneity']",🙂Mixed Signal,"['dog', 'obsessed']"
talk nerdy,"['talk', 'nerdy']",🤷‍♂️No Clear Signal,[]
Science nerd with a love for sci-fi.,"['science', 'nerd', 'love', 'scifi']",🌿Green Flag,['love']
"forever hungry, never full","['forever', 'hungry', 'never', 'full']",🤷‍♂️No Clear Signal,[]
sarcastic queen 👑,"['sarcastic', 'queen']",🤷‍♂️No Clear Signal,[]
I’ll tease you… then cuddle you. 😈🤗,"['ill', 'tease', 'cuddle']",🤷‍♂️No Clear Signal,[]
"I may ghost you, but I’ll leave memes","['may', 'ghost', 'ill', 'leave', 'meme']",🚩Red Flag,['ghost']
chaotic queen,"['chaotic', 'queen']",🤷‍♂️No Clear Signal,[]
I run on sarcasm and chaos,"['run', 'sarcasm', 'chaos']",🚩Red Flag,"['sarcasm', 'chaos']"
"Beach hair, don’t care, tacos in hand.","['beach', 'hair', 'dont', 'care', 'taco', 'hand']",🌿Green Flag,['dont']
single mom vibes,"['single', 'mom', 'vibe']",🤷‍♂️No Clear Signal,[]
music & memes forever,"['music', 'meme', 'forever']",🤷‍♂️No Clear Signal,[]
i ghost sometimes tbh,"['ghost', 'sometimes', 'tbh']",🚩Red Flag,['ghost']
Currently training for a snack marathon,"['currently', 'training', 'snack', 'marathon']",🤷‍♂️No Clear Signal,[]
"Beach hair, don’t care attitude.","['beach', 'hair', 'dont', 'care', 'attitude']",🙂Mixed Signal,"['dont', 'attitude']"
Currently ignoring adulthood creatively,"['currently', 'ignoring', 'adulthood', 'creatively']",🤷‍♂️No Clear Signal,[]
I don’t chase. I attract… through communication,"['dont', 'chase', 'attract', 'communication']",🙂Mixed Signal,"['dont', 'communication', 'chase']"
"hot, moody, emotionally distant. let’s vibe","['hot', 'moody', 'emotionally', 'distant', 'let', 'vibe']",🚩Red Flag,['distant']
"no games. just vibes, stability, and shared Spotify playlists","['game', 'vibe', 'stability', 'shared', 'spotify', 'playlist']",🤷‍♂️No Clear Signal,[]
not the best at flirting but I’m great at showing up,"['best', 'flirting', 'im', 'great', 'showing']",🤷‍♂️No Clear Signal,[]
"Fluent in sarcasm, memes, and chaos.","['fluent', 'sarcasm', 'meme', 'chaos']",🙂Mixed Signal,"['fluent', 'sarcasm', 'chaos']"
Caffeine-dependent disaster,"['caffeinedependent', 'disaster']",🤷‍♂️No Clear Signal,[]
loves sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
🌊 beach bum,"['beach', 'bum']",🤷‍♂️No Clear Signal,[]
sleep > responsibilities,"['sleep', 'responsibility']",🤷‍♂️No Clear Signal,[]
"if we vibe, we’ll thrive","['vibe', 'well', 'thrive']",🌿Green Flag,['thrive']
I may overanalyze your texts,"['may', 'overanalyze', 'text']",🤷‍♂️No Clear Signal,[]
"Cat parent, occasionally flaky.","['cat', 'parent', 'occasionally', 'flaky']",🤷‍♂️No Clear Signal,[]
"Loves dancing, shy in real life.","['love', 'dancing', 'shy', 'real', 'life']",🌿Green Flag,"['love', 'dancing', 'real', 'life']"
I want someone to share quiet mornings & big dreams,"['want', 'someone', 'share', 'quiet', 'morning', 'big', 'dream']",🌿Green Flag,"['share', 'quiet', 'morning']"
might steal ur fries,"['might', 'steal', 'ur', 'fry']",🚩Red Flag,['steal']
I overanalyze emojis and texts daily.,"['overanalyze', 'emojis', 'text', 'daily']",🤷‍♂️No Clear Signal,[]
emojis speak 4 me,"['emojis', 'speak']",🤷‍♂️No Clear Signal,[]
awkward smile,"['awkward', 'smile']",🤷‍♂️No Clear Signal,[]
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
Currently training for a snack marathon,"['currently', 'training', 'snack', 'marathon']",🤷‍♂️No Clear Signal,[]
good vibes only (sometimes),"['good', 'vibe', 'sometimes']",🤷‍♂️No Clear Signal,[]
"Always laughing, sometimes crying.","['always', 'laughing', 'sometimes', 'cry']",🌿Green Flag,"['always', 'laughing']"
pizza > salad fight me,"['pizza', 'salad', 'fight']",🙂Mixed Signal,"['pizza', 'fight']"
"Coffee in one hand, chaos in the other.","['coffee', 'one', 'hand', 'chaos']",🙂Mixed Signal,"['coffee', 'chaos']"
Can cook 2-minute noodles like a pro. 🍜,"['cook', 'minute', 'noodle', 'like', 'pro']",🤷‍♂️No Clear Signal,[]
pizza addict forever,"['pizza', 'addict', 'forever']",🌿Green Flag,['pizza']
big fan of coffee dates and eye contact ☕👀,"['big', 'fan', 'coffee', 'date', 'eye', 'contact']",🌿Green Flag,"['coffee', 'eye']"
"Obsessed with dogs, coffee, and spontaneity.","['obsessed', 'dog', 'coffee', 'spontaneity']",🙂Mixed Signal,"['dog', 'coffee', 'obsessed']"
"i talk too much, deal","['talk', 'much', 'deal']",🤷‍♂️No Clear Signal,[]
"Cat lover, manipulative sometimes.","['cat', 'lover', 'manipulative', 'sometimes']",🌿Green Flag,['lover']
memes > romance,"['meme', 'romance']",🤷‍♂️No Clear Signal,[]
lowkey dramatic,"['lowkey', 'dramatic']",🚩Red Flag,['dramatic']
might annoy u,"['might', 'annoy', 'u']",🤷‍♂️No Clear Signal,[]
"Reads constantly, avoids deep chats.","['read', 'constantly', 'avoids', 'deep', 'chat']",🌿Green Flag,['deep']
i want a relationship that feels like exhale,"['want', 'relationship', 'feel', 'like', 'exhale']",🤷‍♂️No Clear Signal,[]
pizza is life,"['pizza', 'life']",🌿Green Flag,"['pizza', 'life']"
"Pizza > everything, fight me.","['pizza', 'everything', 'fight']",🙂Mixed Signal,"['pizza', 'fight']"
Book lover seeking library partner.,"['book', 'lover', 'seeking', 'library', 'partner']",🌿Green Flag,['lover']
"bad at math, good at life","['bad', 'math', 'good', 'life']",🙂Mixed Signal,"['life', 'bad']"
"Will steal your fries, politely","['steal', 'fry', 'politely']",🚩Red Flag,['steal']
Dog whisperer seeking dog human,"['dog', 'whisperer', 'seeking', 'dog', 'human']",🌿Green Flag,"['dog', 'dog', 'human']"
gym & chill,"['gym', 'chill']",🌿Green Flag,['chill']
Bookworm with a party streak.,"['bookworm', 'party', 'streak']",🌿Green Flag,['bookworm']
Obsessed with true crime and iced lattes.,"['obsessed', 'true', 'crime', 'iced', 'latte']",🚩Red Flag,['obsessed']
naps are life,"['nap', 'life']",🌿Green Flag,['life']
Currently avoiding adulthood creatively,"['currently', 'avoiding', 'adulthood', 'creatively']",🤷‍♂️No Clear Signal,[]
chaotic incarnate,"['chaotic', 'incarnate']",🤷‍♂️No Clear Signal,[]
Cooking disasters welcome here. 🍲,"['cooking', 'disaster', 'welcome']",🤷‍♂️No Clear Signal,[]
introvert but spicy,"['introvert', 'spicy']",🤷‍♂️No Clear Signal,[]
obsessed w astrology,"['obsessed', 'w', 'astrology']",🚩Red Flag,['obsessed']
"Sweet chaos, occasional overthinking.","['sweet', 'chaos', 'occasional', 'overthinking']",🚩Red Flag,['chaos']
"Adventure seeker, manipulative sometimes.","['adventure', 'seeker', 'manipulative', 'sometimes']",🤷‍♂️No Clear Signal,[]
"Love long walks, long talks, and love itself","['love', 'long', 'walk', 'long', 'talk', 'love']",🌿Green Flag,"['love', 'love']"
Loves spicy ramen and bad jokes,"['love', 'spicy', 'ramen', 'bad', 'joke']",🙂Mixed Signal,"['love', 'bad']"
love memes more than ppl,"['love', 'meme', 'ppl']",🌿Green Flag,['love']
"Snack first, questions later","['snack', 'first', 'question', 'later']",🤷‍♂️No Clear Signal,[]
I laugh at my own jokes,"['laugh', 'joke']",🌿Green Flag,['laugh']
Professional shower singer 🎤,"['professional', 'shower', 'singer']",🌿Green Flag,['professional']
Fitness lover seeking yoga buddy.,"['fitness', 'lover', 'seeking', 'yoga', 'buddy']",🌿Green Flag,['lover']
"Wine lover, sometimes moody.","['wine', 'lover', 'sometimes', 'moody']",🌿Green Flag,['lover']
"Amateur chef, professional napper.","['amateur', 'chef', 'professional', 'napper']",🌿Green Flag,['professional']
will match your energy if your energy is healthy,"['match', 'energy', 'energy', 'healthy']",🤷‍♂️No Clear Signal,[]
"Yoga lover, flaky.","['yoga', 'lover', 'flaky']",🌿Green Flag,['lover']
Currently avoiding adulthood creatively,"['currently', 'avoiding', 'adulthood', 'creatively']",🤷‍♂️No Clear Signal,[]
loves midnight walks,"['love', 'midnight', 'walk']",🌿Green Flag,['love']
"here for a good time, not a backstory","['good', 'time', 'backstory']",🚩Red Flag,['backstory']
"Dog whisperer, human negotiator","['dog', 'whisperer', 'human', 'negotiator']",🌿Green Flag,"['dog', 'human']"
"I whisper to plants, they ignore me","['whisper', 'plant', 'ignore']",🤷‍♂️No Clear Signal,[]
"I flirt, then act mysterious.","['flirt', 'act', 'mysterious']",🚩Red Flag,['flirt']
always late,"['always', 'late']",🌿Green Flag,['always']
"Flirt dangerously, nap responsibly","['flirt', 'dangerously', 'nap', 'responsibly']",🚩Red Flag,['flirt']
vegan but eat cheese sometimes,"['vegan', 'eat', 'cheese', 'sometimes']",🤷‍♂️No Clear Signal,[]
messy but cute,"['messy', 'cute']",🚩Red Flag,['messy']
