bio,gender,age,city,platform
I binge Netflix and judge your taste in shows.,Male,30,Philadelphia,Bumble
"I’ll text sweet, then roast mercilessly.",Male,44,Philadelphia,Hinge
"Looking for someone to steal my fries, not my heart",Non-binary,39,LA,Bumble
"Loves stargazing, hates bugs. ✨🪲",Male,20,Philadelphia,Tinder
Currently training for a snack marathon,Female,37,LA,Tinder
"Flirt dangerously, nap responsibly",Female,40,San Fransisco,OkCupid
"Foodie, flaky.",Female,26,Philadelphia,Hinge
Likes late-night talks and bad pizza. 🌙🍕,Male,25,Houston,CMB
like anime and stuff,Male,32,San Fransisco,Tinder
Introverted extrovert seeking same,Non-binary,29,New York,Hinge
"Dog cuddler, human tester.",Female,21,Dallas,Bumble
Gamer seeking co-op partner.,Non-binary,34,Houston,Hinge
I’m the friend that remembers your favorite snack,Non-binary,26,New York,Tinder
"Night owl, meme hoarder, chocolate addict.",Female,35,Chicago,CMB
"Beach walks, starry nights, good vibes only.",Female,36,San Fransisco,Hinge
might annoy u,Non-binary,22,San Fransisco,Tinder
naps are sacred,Male,18,Las Vegas,Tinder
bad at texting,Non-binary,37,New York,OkCupid
sarcasm my cardio,Male,36,LA,OkCupid
pizza and chill,Male,33,Philadelphia,OkCupid
music is life,Male,32,Chicago,OkCupid
Loves night drives and spontaneous stops.,Male,41,Las Vegas,Tinder
Obsessed with memes and laughter.,Male,34,Las Vegas,CMB
"if you’re not slightly toxic, it’s boring",Non-binary,41,Dallas,CMB
Professional chaos coordinator,Male,32,New York,Bumble
i cry at dog videos,Non-binary,31,Chicago,CMB
might ghost accidentally,Female,38,Philadelphia,Hinge
emo hours,Non-binary,24,Las Vegas,Tinder
"Night owl, chaos enthusiast, dog cuddler.",Female,28,San Fransisco,Hinge
overthink & chill,Female,39,San Fransisco,Hinge
Can’t resist a good taco.,Female,43,LA,Bumble
casual vibes,Female,25,New York,Bumble
bad at math,Female,36,Chicago,OkCupid
Professional napper,Female,45,Las Vegas,Hinge
"bad texter, worse communicator",Non-binary,22,Dallas,CMB
loves stars ✨,Male,27,Dallas,Hinge
love sarcasm more than humans,Female,23,LA,Tinder
can cook you soup when you’re sick,Female,24,Chicago,Hinge
"Gym freak, pizza fiend. 💪🍕",Female,39,New York,Hinge
"Night owl, music enthusiast, chaos lover.",Male,38,Philadelphia,Tinder
messy bun & chaos,Male,37,San Fransisco,OkCupid
obsessed with shoes,Non-binary,26,Houston,Hinge
loves chaos,Female,23,San Fransisco,Hinge
therapist approved. 3 months symptom-free lol,Non-binary,45,Houston,CMB
music > everything,Male,41,Houston,Hinge
i’d rather talk about stars than small talk,Non-binary,19,Houston,Tinder
Loves starry nights and long conversations.,Male,35,Houston,Tinder
love sarcasm,Female,39,Philadelphia,OkCupid
emotionally unavailable but great in bed,Male,41,Dallas,Hinge
emotionally complex. sexually confusing,Female,30,San Fransisco,Tinder
just existing,Non-binary,28,New York,CMB
Introverted extrovert,Male,35,LA,Tinder
coffee dependent,Female,36,Dallas,Bumble
loves a challenge,Female,27,San Fransisco,Bumble
i wear socks with sandals,Female,40,Dallas,OkCupid
will match your energy if your energy is healthy,Male,37,Philadelphia,CMB
chaotic brain energy,Male,22,Chicago,Hinge
funny but lowkey rude,Female,33,San Fransisco,Tinder
"Fitness junkie, chocolate connoisseur.",Non-binary,27,Houston,Tinder
"Cat parent, flaky.",Non-binary,18,Las Vegas,Bumble
Sarcasm is my love language 😏💖,Male,24,Las Vegas,Tinder
i say yes to everything,Non-binary,37,Philadelphia,Tinder
Sweet but slightly toxic.,Male,22,Dallas,Hinge
Will challenge you to Mario Kart and crush your soul,Non-binary,41,San Fransisco,Bumble
I do the work — in therapy and in life,Female,38,Las Vegas,Bumble
messy but worth it,Female,24,LA,Tinder
Professional chaos coordinator,Female,21,Philadelphia,Bumble
pizza time,Female,26,Philadelphia,Tinder
i laugh weirdly,Male,41,Las Vegas,Bumble
my version of fun is laughing till we cry,Non-binary,36,LA,Bumble
love horror movies,Non-binary,29,Philadelphia,Tinder
obsessed w tea,Non-binary,32,LA,Bumble
"I’ll share my fries, not my feelings easily.",Female,39,Las Vegas,CMB
Book hoarder with a love for classics.,Female,33,Houston,Hinge
"Foodie, sometimes judgmental.",Female,38,LA,Hinge
DOG LOVER 🐕,Female,35,Philadelphia,Hinge
chaotic neutral,Female,25,Las Vegas,Hinge
"Gamer, flaky.",Male,34,New York,Hinge
"Cat lover, avoids emotional depth.",Non-binary,27,Las Vegas,Bumble
Long-term vibes. And I mean that with my whole chest.,Male,34,Philadelphia,Tinder
I laugh at memes more than life.,Non-binary,41,New York,OkCupid
"Loves photography, ignores messages.",Female,41,LA,OkCupid
"Night owl, chaos lover, meme enthusiast.",Male,36,New York,OkCupid
probably online rn,Non-binary,42,Dallas,Hinge
Flirt responsibly,Non-binary,25,Houston,OkCupid
" Wine fan, flaky.",Female,31,Philadelphia,CMB
coffee addict ☕,Male,24,Chicago,CMB
Loves road trips and singing off-key.,Female,33,San Fransisco,OkCupid
Professional chaos enthusiast,Male,31,San Fransisco,Bumble
loves midnight walks,Female,36,New York,OkCupid
"Snack first, questions later",Male,38,Chicago,OkCupid
"Music is life, but I talk too much. 🎶💬",Female,21,New York,Bumble
Loves reading… hates your Netflix suggestions. 📖❌,Male,25,Chicago,OkCupid
Gym rat💪 coffee addict,Male,22,Las Vegas,Tinder
bored rn,Female,31,Dallas,OkCupid
i read horoscopes daily,Female,37,LA,Tinder
messy bun & coffee,Non-binary,37,Las Vegas,CMB
"Gamer at heart, foodie in practice.",Female,42,New York,Tinder
"Loves hiking, flakes mid-week.",Non-binary,32,Chicago,CMB
"I overthink emojis, texts, conversations.",Non-binary,34,San Fransisco,Bumble
"Beach hair, don’t care, coffee in hand.",Non-binary,44,LA,OkCupid
still believe in hand-written notes and good eye contact,Male,27,Chicago,CMB
"Occasionally kind, mostly chaotic.",Non-binary,19,LA,Tinder
sleepy queen,Male,42,Chicago,CMB
Wine enthusiast with bad puns.,Non-binary,43,LA,Bumble
"Love adventures, fear mundane life.",Non-binary,34,Chicago,OkCupid
overthinker & snack,Male,29,San Fransisco,Hinge
loves chocolate 🍫,Non-binary,33,LA,Hinge
"Obsessed with hiking, street food, and music.",Non-binary,20,New York,Hinge
"Snack first, questions later",Non-binary,20,LA,Hinge
"Cat cuddler, Netflix binge lover.",Non-binary,36,LA,Hinge
pizza & memes,Female,22,Houston,Hinge
"I roast, then hug it out.",Male,39,Houston,Bumble
pizza > life,Male,40,Las Vegas,OkCupid
Amateur photographer chasing light.,Female,40,New York,Hinge
Recovering overthinker seeking chaos partner,Female,29,Dallas,Tinder
"Obsessed with hiking, photography, and laughter.",Non-binary,32,Philadelphia,Hinge
"Fitness lover, chocolate enthusiast.",Male,21,Dallas,Bumble
"Wine snob, cheese lover, secret softie. 🍷🧀",Non-binary,39,Las Vegas,OkCupid
awkward but cute,Female,24,Dallas,CMB
love dogs,Non-binary,38,Houston,OkCupid
i love disney,Male,23,Philadelphia,Tinder
Professional meme sharer,Female,34,San Fransisco,Bumble
Gamer seeking co-pilot for life adventures.,Non-binary,32,New York,Tinder
just trying to find someone hotter than my ex,Non-binary,39,New York,Hinge
Professional meme curator,Non-binary,27,New York,CMB
Introverted extrovert seeking same,Female,38,San Fransisco,CMB
I’m fun i swear,Female,37,Las Vegas,Tinder
Caffeine-fueled overthinker,Male,23,San Fransisco,OkCupid
love dogs & tacos,Male,37,Chicago,Hinge
can be annoying but cute,Non-binary,25,Dallas,Tinder
"I’ll roast you, then give dessert.",Female,24,San Fransisco,OkCupid
loves memes more than humans,Male,29,Dallas,CMB
Serial over-sharer,Male,31,San Fransisco,CMB
coffee dependent,Non-binary,44,Las Vegas,Bumble
Reads constantly but never responds to texts.,Male,19,Dallas,Tinder
Currently ignoring adulthood creatively,Female,41,LA,OkCupid
pizza & naps forever,Non-binary,25,San Fransisco,Hinge
"i’m not easy to impress, just easy to distract",Male,20,Philadelphia,Bumble
"Loves karaoke, dancing, and spontaneous trips.",Non-binary,24,Philadelphia,OkCupid
Late-night thinker and early morning coffee drinker 🌙☕,Female,34,Houston,CMB
just wing it,Male,18,Chicago,Bumble
i overthink constantly,Male,19,Philadelphia,Hinge
"Pizza lover, Netflix binge master 🍕📺",Male,31,Philadelphia,Bumble
i make bad decisions on purpose,Male,37,New York,Tinder
"Yoga lover, flaky.",Non-binary,31,Dallas,OkCupid
"Coffee addict, sometimes too clingy.",Male,37,Houston,CMB
"Loves brunch, hates waiting.",Male,41,LA,OkCupid
talk nerdy 2 me,Non-binary,27,Dallas,Bumble
could text 24/7,Male,27,Houston,Tinder
"Coffee addict, avoids serious talks.",Female,24,Houston,Tinder
Night owl who thrives on chaos and laughter.,Non-binary,27,San Fransisco,OkCupid
wanderer at heart,Non-binary,18,Philadelphia,CMB
Will judge your memes silently,Non-binary,31,New York,Bumble
"I flirt, then disappear mysteriously.",Non-binary,22,New York,OkCupid
Adventure seeker with a love for sunsets ✈️🌅,Male,35,Dallas,Hinge
Sarcasm is my love language,Male,22,Chicago,Hinge
someone once called me “calm in human form”,Female,34,Houston,OkCupid
"Obsessed with dogs, coffee, and spontaneity.",Non-binary,18,Las Vegas,Bumble
messy & fun vibes,Non-binary,31,San Fransisco,OkCupid
Collector of weird habits,Male,24,New York,Bumble
Currently training for a snack marathon,Male,41,San Fransisco,Hinge
maybe a mood,Non-binary,31,Chicago,OkCupid
introvert but loves deep talks,Non-binary,25,Chicago,Bumble
"Pizza first, life second",Female,38,Chicago,CMB
"I binge memes, not responsibilities.",Non-binary,23,Dallas,OkCupid
I overthink and nap simultaneously,Female,40,San Fransisco,OkCupid
hopeless romantic,Female,33,San Fransisco,Tinder
wtf even is love,Non-binary,19,Chicago,OkCupid
obsessed w coffee,Male,44,Las Vegas,Bumble
sometimes extra,Non-binary,40,Las Vegas,Tinder
"I’m not everyone’s cup of tea, but I’m warm",Male,44,Philadelphia,OkCupid
i scream at movies,Male,40,Houston,Hinge
"Loves rain, hates umbrellas.",Female,44,Las Vegas,Bumble
"Amateur chef, full-time snack enthusiast.",Female,36,Las Vegas,Hinge
I overthink and nap simultaneously,Male,24,Dallas,Bumble
"I say what I feel, consequences be damned.",Male,34,Dallas,Bumble
"I cook, I clean, I disappear mysteriously.",Non-binary,29,Houston,Hinge
"I binge-read, then binge-cry.",Non-binary,40,LA,CMB
Always down for karaoke and midnight ice cream runs.,Non-binary,22,LA,Tinder
"mostly stable, emotionally literate, knows how to apologize — also cries at animated movies and ghost people when overwhelmed lol",Non-binary,18,Chicago,Tinder
Fitness enthusiast who loves chocolate.,Male,25,Dallas,CMB
quiet but savage,Male,22,LA,CMB
"I whisper to plants, they ignore me",Female,44,New York,Tinder
pizza lover,Female,39,New York,Tinder
Night owl seeking fellow insomniac partner.,Female,34,New York,Hinge
pizza & chaos energy,Female,33,New York,Tinder
messy hair don’t care,Male,23,LA,OkCupid
Goal is to build a life that feels soft & full,Male,19,Dallas,Tinder
"not really sure what I’m doing here. just hoping for something soft, safe, and slightly chaotic.Love traveling and finding hidden coffee shops ☕✈️",Female,18,Chicago,Hinge
I give forehead kisses and space when you need it,Non-binary,33,Las Vegas,Hinge
"Wine lover, ghosted recently.",Female,22,LA,OkCupid
Beach bum with a passion for photography.,Female,19,Houston,Tinder
Will judge your playlist… politely,Female,40,San Fransisco,CMB
"Likes quiet nights, chaotic mornings. 🌙☀️",Male,37,San Fransisco,CMB
love pizza,Male,22,Philadelphia,Tinder
"Adventure junkie, flakes mid-trip.",Female,19,Dallas,Bumble
pizza rolls over sushi,Male,18,Dallas,Tinder
"love memes, hate drama",Male,22,New York,Hinge
"Adventure seeker, manipulative sometimes.",Non-binary,41,New York,Tinder
I don’t ghost. I don’t flake. I don’t play.,Female,34,Chicago,OkCupid
"Loves sarcasm, hates small talk.",Male,27,Houston,CMB
"Let’s build something calm, warm, and wildly fun",Male,27,LA,CMB
messy but cute,Female,27,Chicago,Bumble
"I’ll steal your fries, sometimes your soul.",Non-binary,42,Houston,Bumble
my playlist is chaos,Male,19,Philadelphia,Hinge
I romanticize grocery shopping together 🛒,Female,38,Las Vegas,Bumble
"Snack provider, chaos bringer",Female,31,Philadelphia,Bumble
hi? lol,Male,22,Philadelphia,CMB
just another human,Male,28,Philadelphia,Hinge
"Loves books, hates cliffhangers.",Non-binary,32,Chicago,Hinge
"if we match, let’s be real from the start",Male,45,Dallas,Tinder
"Yoga lover, ghosted recently.",Female,42,Houston,OkCupid
friend zone expert,Non-binary,36,Las Vegas,CMB
Gamer looking for co-op partner.,Female,27,Houston,Hinge
i nap anywhere tbh,Male,27,Houston,Bumble
Dog cuddles make everything better 🐶❤️,Female,23,Chicago,CMB
"if i delete hinge again, blame men",Non-binary,27,Houston,Tinder
i hate mornings,Non-binary,21,Chicago,Hinge
"Coffee addict, bookworm, chaos lover.",Female,36,Chicago,Tinder
I dance badly… proudly. 💃😅,Female,32,Houston,CMB
i nap anywhere,Non-binary,37,Philadelphia,Hinge
i nap daily,Non-binary,40,Philadelphia,Tinder
"Loves quiet nights, loud laughs, and tacos.",Non-binary,26,Houston,Bumble
single & spicy,Male,31,Dallas,OkCupid
chill af,Non-binary,31,Houston,Tinder
kinda wild,Male,22,Houston,Hinge
I overanalyze everything… including this bio,Non-binary,28,Philadelphia,Tinder
i’m okay alone. just think life’s better together,Male,37,San Fransisco,Bumble
"Can cook a 5-star meal, but I’ll burn toast. 🍳",Female,19,LA,CMB
chaos incarnate,Non-binary,22,Philadelphia,Hinge
Introvert seeking mutual ignoring,Male,23,New York,Bumble
"Flirt responsibly, snack recklessly",Male,30,Chicago,Bumble
"coffee > sleep, always",Female,44,San Fransisco,CMB
bad at commitment,Male,39,Las Vegas,OkCupid
"I can’t dance, but I will",Non-binary,28,Las Vegas,Bumble
Flirting like it’s an Olympic sport,Male,32,Philadelphia,Hinge
Collector of memories and mugs.,Non-binary,38,Chicago,OkCupid
i ghost but come back,Non-binary,29,San Fransisco,Bumble
Professional napper,Male,18,San Fransisco,Tinder
memes all day,Non-binary,35,LA,Tinder
casual & messy,Non-binary,20,San Fransisco,Bumble
obsessed w shoes,Non-binary,40,Las Vegas,OkCupid
"Careful with me, I bite when stressed. 😅",Female,20,San Fransisco,Hinge
emo but cute,Non-binary,26,San Fransisco,Tinder
awkward af,Non-binary,37,Houston,Hinge
"Fluent in sarcasm, movie quotes, and bad jokes.",Male,42,San Fransisco,Tinder
Movie nerd looking for co-pilot in life.,Female,23,Las Vegas,Tinder
dogs > people,Female,18,Houston,CMB
i like my space,Non-binary,35,Dallas,Hinge
"thoughtful, slightly awkward, and surprisingly romantic",Male,25,Philadelphia,OkCupid
"Occasional sweet, frequent chaos.",Male,39,New York,OkCupid
"Obsessed with hiking, photography, and laughter.",Non-binary,39,Houston,Hinge
"Pancakes for breakfast, sarcasm for dinner.",Non-binary,18,Philadelphia,CMB
binge watcher,Female,23,Las Vegas,OkCupid
Recovering overthinker seeking chaos partner,Non-binary,31,Philadelphia,Bumble
casual vibes,Non-binary,35,Chicago,OkCupid
"I’ll plan trips, then forget your name.",Male,20,New York,Hinge
binge watcher & eater,Female,29,LA,CMB
romance for me is remembering the small things,Female,33,Chicago,Hinge
my dog picks my dates,Non-binary,38,Houston,CMB
i eat cereal for dinner,Female,29,New York,Tinder
emotional security > aesthetic perfection,Male,36,Houston,Hinge
"Sweet, spicy, slightly dramatic. 🍬🌶️🎭",Female,25,San Fransisco,Bumble
"Flirt responsibly, swipe carefully",Non-binary,41,Philadelphia,Hinge
love sarcasm,Non-binary,22,LA,OkCupid
Fun but unpredictable.,Male,21,New York,Bumble
Weekend hiker seeking adventure buddy.,Male,34,Philadelphia,Bumble
Introverted extrovert,Non-binary,26,New York,Tinder
"Dog mom, chaos enthusiast",Male,43,Philadelphia,Bumble
"Proud nerd, occasional troublemaker. 🤓😏",Non-binary,39,Dallas,Tinder
Will pet your dog without asking,Non-binary,43,Houston,Tinder
shy & spicy,Male,25,Philadelphia,OkCupid
chill but mysterious,Non-binary,45,Chicago,Tinder
hair messy don’t care,Male,30,Houston,Hinge
"love sarcasm, hate small talk",Male,38,Houston,Bumble
Flirting level: dangerously charming,Non-binary,33,Houston,CMB
"Loves ice cream, hikes, and coffee.",Male,43,New York,OkCupid
Gamer seeking partner for co-op chaos.,Male,44,Dallas,Tinder
"Love adventure, fear commitment.",Non-binary,25,Dallas,CMB
lonely AF,Non-binary,39,Houston,CMB
"Coffee addict, ignores small promises.",Female,35,Houston,Tinder
Loves spontaneous adventures and bad decisions.,Female,41,Houston,Tinder
"Obsessed with dogs, coffee, and chaos 🐶☕😂",Female,34,Las Vegas,Tinder
i sing off key,Non-binary,39,LA,Bumble
"Dog lover, Netflix binger, chaos energy.",Male,38,Las Vegas,Hinge
brunch over feelings,Non-binary,34,San Fransisco,OkCupid
yes I’ll screenshot your messages,Male,38,LA,CMB
hi?,Female,37,New York,CMB
"Foodie, sometimes clingy.",Female,38,San Fransisco,Tinder
"Sweet chaos, occasional overthinking.",Non-binary,21,San Fransisco,OkCupid
"Beach bum, star gazer, random hugger. 🌊✨",Female,38,Dallas,Hinge
"I ghost, then return charmingly.",Male,43,Philadelphia,OkCupid
bad at texting,Male,40,Houston,OkCupid
naps > work,Male,30,Houston,OkCupid
"I ghost, but for dramatic effect.",Male,29,San Fransisco,OkCupid
I can quote entire TV shows uselessly,Female,24,Houston,OkCupid
sleepy queen,Female,29,Las Vegas,Bumble
I dance like no one’s watching… but everyone is,Male,36,LA,Tinder
i don’t chase. i vanish,Female,25,Houston,Bumble
Flirt like you mean it,Non-binary,39,Houston,OkCupid
might overthink,Male,28,Philadelphia,CMB
“hi” is my vibe,Non-binary,43,Philadelphia,OkCupid
"if ur obsessed with ur ex, same",Male,23,LA,Hinge
Flirting like an art form,Non-binary,31,New York,OkCupid
"Dog whisperer, human negotiator",Female,39,Philadelphia,CMB
"Gamer, avoids deep chats.",Female,29,New York,Tinder
morning walks > nightclubs,Non-binary,30,Houston,Bumble
"I laugh at memes, cry at sunsets.",Male,42,San Fransisco,Tinder
tacos before love,Male,32,Las Vegas,Hinge
"Night owl, meme hoarder, chocolate lover.",Female,24,Chicago,Tinder
"Coffee in one hand, memes in the other.",Non-binary,36,Las Vegas,CMB
coffee & chaos vibes,Male,30,New York,OkCupid
coffee addict,Non-binary,43,LA,Bumble
i’m clingy sometimes,Female,37,Las Vegas,OkCupid
memes > humans,Female,26,Dallas,Tinder
"Enjoys concerts, avoids real-life drama.",Male,20,Las Vegas,Bumble
sarcastic till death,Non-binary,18,Dallas,CMB
just here to vibe,Non-binary,44,New York,Tinder
loves hugs more than u,Male,41,Houston,OkCupid
"Idk what to say, just don’t be weird",Male,35,Philadelphia,Hinge
Could cuddle forever… or vanish. 🤗🏃‍♂️,Male,25,Las Vegas,Tinder
looking 4 chaos & cuddles,Female,28,Houston,Bumble
"Gym is life, but pizza is love.",Male,28,New York,Hinge
could steal ur hoodie,Non-binary,39,New York,Tinder
hi lol,Non-binary,29,Philadelphia,Hinge
"Love adventures, fear boring people.",Female,25,Dallas,CMB
just ask me,Non-binary,34,Las Vegas,Hinge
I want something that feels like safety,Female,21,Philadelphia,OkCupid
netflix > gym,Female,19,LA,OkCupid
i’m either your comfort person or your lesson. there is no in between.,Female,45,San Fransisco,Tinder
"Flirting: 100% chaos, 0% plan",Non-binary,40,Las Vegas,Hinge
"Loves festivals, ghosts after one night.",Female,19,New York,CMB
Obsessed with stationery and planners.,Male,37,New York,Tinder
might ghost u,Non-binary,33,Chicago,OkCupid
loves spontaneous fun,Female,32,Las Vegas,Hinge
🌊 beach bum,Non-binary,27,Philadelphia,Hinge
i like chaos,Male,45,Dallas,OkCupid
"Talks too much, listens too little… sometimes. 😅",Male,30,LA,Tinder
i scream sometimes,Female,45,San Fransisco,CMB
Book lover seeking library partner.,Female,19,Houston,CMB
emojis all day,Female,38,Chicago,CMB
Will annoy you… but you’ll love it. 😈,Male,30,New York,CMB
chill but deadly,Male,32,Dallas,Bumble
i sing badly but happy,Male,29,Las Vegas,Tinder
love a good pun,Female,36,San Fransisco,CMB
obsessed w memes,Male,23,Las Vegas,OkCupid
Professional napper,Female,24,San Fransisco,CMB
"Fluent in sarcasm, memes, and coffee ☕😂",Non-binary,28,New York,CMB
I will overshare in the first 5 messages,Female,40,New York,CMB
bts stan for life,Male,23,LA,Hinge
tired of matching with guys named aj,Male,36,Chicago,Tinder
"I text too much, then ignore.",Female,27,Chicago,Bumble
"I ghost, but only for your own good.",Female,34,Chicago,Bumble
love horror movies,Non-binary,36,Philadelphia,OkCupid
"Obsessed with dogs, street food, and spontaneity.",Non-binary,42,Chicago,Tinder
don’t flirt if you can’t fight,Male,24,Houston,CMB
"Coffee in one hand, chaos in the other.",Male,38,Chicago,Bumble
Flirt level: expert,Female,23,LA,Tinder
Living life one cup of coffee at a time ☕✨,Male,21,Philadelphia,CMB
i talk too much sometimes,Female,31,Philadelphia,Hinge
Living for laughter and spontaneous adventures 😂✈️,Female,18,LA,OkCupid
"Snack provider, chaos bringer",Male,29,Chicago,Tinder
Loves random adventures and laughter.,Male,22,Houston,Tinder
I trip over flat surfaces… elegantly,Female,36,LA,Hinge
quiet but savage,Non-binary,42,Las Vegas,OkCupid
loves tea more,Non-binary,21,Philadelphia,CMB
"Foodie, flaky.",Female,41,LA,OkCupid
Obsessed with photography and bad puns.,Male,22,Chicago,Bumble
not your type probably,Non-binary,23,Las Vegas,CMB
i overthink things and then talk about them openly,Male,19,Chicago,CMB
loves hugs more,Non-binary,26,Las Vegas,Hinge
i cry at disney movies,Male,23,LA,Hinge
I laugh at my own jokes way too much 😂🤦‍♂️,Male,41,LA,Bumble
"here to find my person, not a project",Female,26,Dallas,CMB
Could be sweet… then savage. 🍬🗡️,Male,42,New York,OkCupid
"Fluent in sarcasm, bad jokes, and late-night snacks.",Male,22,Las Vegas,OkCupid
Bookworm looking for someone to debate plot twists.,Female,45,Philadelphia,Hinge
"I plan adventures, sometimes alone.",Male,45,New York,Bumble
"Reads constantly, avoids deep chats.",Non-binary,21,Chicago,Hinge
i like affection & ignoring texts equally,Male,43,Dallas,Tinder
vegan but eat cheese sometimes,Male,21,San Fransisco,Bumble
i laugh at my own jokes,Non-binary,36,San Fransisco,Hinge
obsessed w skincare,Non-binary,36,Dallas,Bumble
coffee addict ☕,Female,29,Dallas,Bumble
Currently avoiding adulthood at all costs,Male,21,Dallas,CMB
lowkey dramatic af,Female,40,LA,OkCupid
introvert problems,Female,42,San Fransisco,Bumble
"Pizza first, life second",Female,33,San Fransisco,Hinge
pizza addict & napper,Non-binary,18,San Fransisco,Tinder
"Part-time genius, full-time snack hunter",Female,18,Philadelphia,Hinge
messy hair dont care,Non-binary,25,San Fransisco,Tinder
Pro at awkward silences,Non-binary,42,New York,OkCupid
lowkey dramatic,Non-binary,22,Philadelphia,Hinge
"love memes, hate fake ppl",Male,23,Philadelphia,Tinder
"I overthink, you overreact, we match.",Male,30,San Fransisco,CMB
tacos pls,Non-binary,40,LA,OkCupid
hi lol,Male,40,Dallas,Bumble
Dog mom looking for dog dad energy,Female,25,Houston,Hinge
"Adventure junkie, flaky.",Non-binary,37,Philadelphia,CMB
"i forget stuff, forgive pls",Male,19,Las Vegas,Bumble
lonely but thriving,Male,25,LA,CMB
"Sweet chaos, occasional calm.",Non-binary,43,San Fransisco,CMB
"Obsessed with dogs, memes, and chocolate.",Non-binary,38,Houston,CMB
Loves spontaneous road trips and midnight talks.,Non-binary,26,Chicago,Bumble
I trip over flat surfaces… elegantly,Female,27,New York,OkCupid
"I flirt, then ghost for fun",Male,24,Philadelphia,Bumble
Obsessed with spontaneous adventures.,Female,25,San Fransisco,OkCupid
obsessed w stars,Male,30,Las Vegas,Tinder
obsessed w reality tv,Non-binary,31,Las Vegas,Tinder
I’m just looking for someone to share my snacks with,Female,25,San Fransisco,Hinge
i keep my promises & my plants alive,Male,26,LA,Bumble
"Coffee snob, ghosted friends.",Male,33,Las Vegas,CMB
"Coffee, books, repeat.",Male,30,LA,Hinge
sleep > responsibilities,Female,30,Dallas,OkCupid
Flirting: chaotic but cute,Non-binary,38,Las Vegas,OkCupid
"I care too much, but only occasionally.",Non-binary,35,San Fransisco,CMB
overthink & binge watch,Male,41,San Fransisco,Tinder
"I plan trips, cancel for naps.",Male,45,Chicago,CMB
Professional chaos coordinator,Non-binary,22,Houston,OkCupid
introvert vibes forever,Female,41,San Fransisco,Bumble
"Fitness buff, sometimes moody.",Female,23,Las Vegas,CMB
binge watcher forever,Female,34,San Fransisco,Bumble
Loves hiking but hates people in general.,Male,45,Philadelphia,Hinge
"Night owl, meme hoarder, ice cream addict.",Female,34,Las Vegas,CMB
