bio,gender,age,city,gender,platform,filtered_tokens,lemmatized_tokens,flag_classification,reason
"Adventure awaits, and I’m ready ✈️🔥",Non-binary,44,Houston,Non-binary,OkCupid,"['adventure', 'awaits', 'im', 'ready']","['adventure', 'awaits', 'ready']",🤷‍♂️No Clear Signal,
Loves cooking… hates cleaning. 🍳🧽,Male,21,New York,Male,OkCupid,"['loves', 'cooking', 'hates', 'cleaning']","['love', 'hate', 'clean']",🚩Red Flag,"hate, love"
lazy but cute,Male,19,New York,Male,Bumble,"['lazy', 'cute']","['lazy', 'cute']",🤷‍♂️No Clear Signal,
Dog mom looking for dog dad energy,Male,23,Houston,Male,Tinder,"['dog', 'mom', 'looking', 'dog', 'dad', 'energy']","['dog', 'mom', 'look', 'dog', 'dad', 'energy']",🚩Red Flag,"look, dog, dog"
"I binge, nap, repeat.",Male,32,Dallas,Male,CMB,"['binge', 'nap', 'repeat']","['binge', 'nap', 'repeat']",🌿Green Flag,nap
"I ghost, but I leave memes",Female,30,LA,Female,OkCupid,"['ghost', 'leave', 'memes']","['ghost', 'leave', 'meme']",🚩Red Flag,"ghost, ghost, meme"
gym vibes only,Female,33,Chicago,Female,OkCupid,"['gym', 'vibes']","['gym', 'vibe']",🤷‍♂️No Clear Signal,
Life’s too short for bad coffee ☕🔥,Female,27,New York,Female,OkCupid,"['lifes', 'short', 'bad', 'coffee']","['life', 'short', 'bad', 'coffee']",🚩Red Flag,"bad, bad, bad, life, coffee, coffee"
I dance like chaos incarnate,Female,33,San Fransisco,Female,Bumble,"['dance', 'like', 'chaos', 'incarnate']","['dance', 'like', 'chaos', 'incarnate']",🚩Red Flag,"chaos, dance, chaos, dance, like"
"I overanalyze emojis, texts, life.",Female,41,Dallas,Female,Hinge,"['overanalyze', 'emojis', 'texts', 'life']","['overanalyze', 'emojis', 'text', 'life']",🌿Green Flag,"life, overanalyze"
my version of fun is laughing till we cry,Female,42,New York,Female,Tinder,"['version', 'fun', 'laughing', 'till', 'cry']","['version', 'fun', 'laugh', 'till', 'cry']",🌿Green Flag,laugh
"Obsessed with hiking, street food, and good vibes.",Non-binary,35,Dallas,Non-binary,Bumble,"['obsessed', 'hiking', 'street', 'food', 'good', 'vibes']","['obsess', 'hike', 'street', 'food', 'good', 'vibe']",🚩Red Flag,obsess
Amateur chef seeking taste tester.,Non-binary,25,Chicago,Non-binary,CMB,"['amateur', 'chef', 'seeking', 'taste', 'tester']","['amateur', 'chef', 'seek', 'taste', 'tester']",🙂Mixed Flag,amateur
loves midnight walks,Female,30,New York,Female,Hinge,"['loves', 'midnight', 'walks']","['love', 'midnight', 'walk']",🌿Green Flag,love
Loves spontaneous adventures and bad decisions.,Male,39,Chicago,Male,OkCupid,"['loves', 'spontaneous', 'adventures', 'bad', 'decisions']","['love', 'spontaneous', 'adventure', 'bad', 'decision']",🚩Red Flag,"bad, bad, bad, love"
might ghost accidentally,Non-binary,40,Chicago,Non-binary,CMB,"['might', 'ghost', 'accidentally']","['might', 'ghost', 'accidentally']",🚩Red Flag,"ghost, ghost"
Beach bum with a love for books and sunsets.,Non-binary,30,Philadelphia,Non-binary,Hinge,"['beach', 'bum', 'love', 'books', 'sunsets']","['beach', 'bum', 'love', 'book', 'sunset']",🌿Green Flag,love
pizza addict forever,Non-binary,33,Philadelphia,Non-binary,Hinge,"['pizza', 'addict', 'forever']","['pizza', 'addict', 'forever']",🌿Green Flag,"pizza, pizza"
no f*ckboys… unless ur hot,Female,26,New York,Female,CMB,"['fckboys', 'unless', 'ur', 'hot']","['unless', 'ur', 'hot']",🤷‍♂️No Clear Signal,
"Stable job, stable emotions, chaotic playlists",Non-binary,22,Houston,Non-binary,OkCupid,"['stable', 'job', 'stable', 'emotions', 'chaotic', 'playlists']","['stable', 'job', 'stable', 'emotion', 'chaotic', 'playlist']",🌿Green Flag,"stable, chaotic"
"Flirts like a pro, cooks like a noob",Male,34,Dallas,Male,Bumble,"['flirts', 'like', 'pro', 'cooks', 'like', 'noob']","['flirt', 'like', 'pro', 'cook', 'like', 'noob']",🚩Red Flag,"flirt, flirt, like"
Cooking disasters welcome here. 🍲,Male,45,Philadelphia,Male,CMB,"['cooking', 'disasters', 'welcome']","['cook', 'disaster', 'welcome']",🤷‍♂️No Clear Signal,
"Cat parent, ghosted recently.",Female,31,New York,Female,Bumble,"['cat', 'parent', 'ghosted', 'recently']","['cat', 'parent', 'ghost', 'recently']",🚩Red Flag,"ghost, ghost"
"Love coffee, hate mornings.",Male,18,LA,Male,Tinder,"['love', 'coffee', 'hate', 'mornings']","['love', 'coffee', 'hate', 'morning']",🚩Red Flag,"hate, morning, coffee, love, coffee"
Professional napper,Female,27,Chicago,Female,Bumble,"['professional', 'napper']","['professional', 'napper']",🌿Green Flag,professional
"Can be sweet, can be savage—depends on my mood.",Female,43,Houston,Female,Tinder,"['sweet', 'savagedepends', 'mood']","['sweet', 'mood']",🤷‍♂️No Clear Signal,
"I’m fun, but I have trust issues.",Female,32,Philadelphia,Female,Hinge,"['im', 'fun', 'trust', 'issues']","['fun', 'trust', 'issue']",🌿Green Flag,trust
i talk too much,Female,30,Las Vegas,Female,Bumble,"['talk', 'much']","['talk', 'much']",🙂Mixed Flag,much
"Fluent in sarcasm, memes, and chaos.",Non-binary,39,Las Vegas,Non-binary,Hinge,"['fluent', 'sarcasm', 'memes', 'chaos']","['fluent', 'sarcasm', 'meme', 'chaos']",🚩Red Flag,"sarcasm, chaos, fluent, meme, chaos, fluent"
Can overthink and nap simultaneously,Male,28,LA,Male,OkCupid,"['overthink', 'nap', 'simultaneously']","['overthink', 'nap', 'simultaneously']",🚩Red Flag,"overthink, overthink, nap, overthink"
Plant collector seeking green thumb friend.,Non-binary,34,Philadelphia,Non-binary,Hinge,"['plant', 'collector', 'seeking', 'green', 'thumb', 'friend']","['plant', 'collector', 'seek', 'green', 'thumb', 'friend']",🙂Mixed Flag,friend
i wear hoodies always,Male,39,Dallas,Male,CMB,"['wear', 'hoodies', 'always']","['wear', 'hoodies', 'always']",🌿Green Flag,always
"Amateur musician, karaoke lover.",Male,19,Chicago,Male,CMB,"['amateur', 'musician', 'karaoke', 'lover']","['amateur', 'musician', 'karaoke', 'lover']",🌿Green Flag,"lover, amateur"
"Professional napper, part-time snack enthusiast 🍕",Male,21,Dallas,Male,CMB,"['professional', 'napper', 'parttime', 'snack', 'enthusiast']","['professional', 'napper', 'snack', 'enthusiast']",🌿Green Flag,"professional, enthusiast"
speaks fluent emoji,Non-binary,35,Las Vegas,Non-binary,Hinge,"['speaks', 'fluent', 'emoji']","['speaks', 'fluent', 'emoji']",🌿Green Flag,"fluent, fluent"
Looking for someone to argue about Marvel movies with.,Female,38,Chicago,Female,CMB,"['looking', 'someone', 'argue', 'marvel', 'movies']","['look', 'someone', 'argue', 'marvel', 'movie']",🚩Red Flag,look
I love pets more than people. 🐾,Non-binary,29,New York,Non-binary,OkCupid,"['love', 'pets', 'people']","['love', 'pet', 'people']",🌿Green Flag,love
lazy but cute,Male,45,Houston,Male,OkCupid,"['lazy', 'cute']","['lazy', 'cute']",🤷‍♂️No Clear Signal,
love pizza,Female,31,Houston,Female,OkCupid,"['love', 'pizza']","['love', 'pizza']",🌿Green Flag,"love, pizza, pizza"
" Wine fan, flaky.",Female,37,LA,Female,OkCupid,"['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']",🚩Red Flag,flaky
Beach bum in search of the perfect sunset 🌊🌅,Non-binary,38,Dallas,Non-binary,Hinge,"['beach', 'bum', 'search', 'perfect', 'sunset']","['beach', 'bum', 'search', 'perfect', 'sunset']",🤷‍♂️No Clear Signal,
"Foodie, ignores texts.",Non-binary,45,LA,Non-binary,Tinder,"['foodie', 'ignores', 'texts']","['foodie', 'ignores', 'texts']",🤷‍♂️No Clear Signal,
Amateur painter seeking inspiration and laughter.,Male,26,Philadelphia,Male,Bumble,"['amateur', 'painter', 'seeking', 'inspiration', 'laughter']","['amateur', 'painter', 'seek', 'inspiration', 'laughter']",🙂Mixed Flag,amateur
lolol,Non-binary,28,Philadelphia,Non-binary,Bumble,['lolol'],['lolol'],🤷‍♂️No Clear Signal,
"Idk what to say, just don’t be weird",Female,26,Chicago,Female,Tinder,"['idk', 'say', 'dont', 'weird']","['idk', 'say', 'weird']",🙂Mixed Flag,idk
Can cook 2-minute noodles like a pro,Male,26,New York,Male,Bumble,"['cook', 'minute', 'noodles', 'like', 'pro']","['cook', 'noodle', 'like', 'pro']",🙂Mixed Flag,like
love tacos more than ppl,Non-binary,43,Dallas,Non-binary,CMB,"['love', 'tacos', 'ppl']","['love', 'taco', 'ppl']",🌿Green Flag,love
binge watcher & eater,Male,21,Philadelphia,Male,Tinder,"['binge', 'watcher', 'eater']","['binge', 'watcher', 'eater']",🤷‍♂️No Clear Signal,
short temper but loyal af,Non-binary,26,Philadelphia,Non-binary,Tinder,"['short', 'temper', 'loyal', 'af']","['short', 'temper', 'loyal', 'af']",🤷‍♂️No Clear Signal,
introvert but social sometimes,Non-binary,38,LA,Non-binary,Bumble,"['introvert', 'social', 'sometimes']","['introvert', 'social', 'sometimes']",🙂Mixed Flag,"sometimes, introvert"
"I overthink, but I try.",Female,36,Philadelphia,Female,Tinder,"['overthink', 'try']","['overthink', 'try']",🚩Red Flag,"overthink, overthink, overthink"
just me,Female,30,LA,Female,Bumble,[],[],🤷‍♂️No Clear Signal,
Gamer who actually cooks on weekends.,Non-binary,32,Las Vegas,Non-binary,OkCupid,"['gamer', 'actually', 'cooks', 'weekends']","['gamer', 'actually', 'cook', 'weekend']",🤷‍♂️No Clear Signal,
just here till i find someone worse,Female,42,LA,Female,OkCupid,"['till', 'find', 'someone', 'worse']","['till', 'find', 'someone', 'bad']",🚩Red Flag,"bad, bad, bad"
"Amateur painter, full-time daydreamer.",Female,39,Las Vegas,Female,Bumble,"['amateur', 'painter', 'fulltime', 'daydreamer']","['amateur', 'painter', 'daydreamer']",🙂Mixed Flag,amateur
i scream at movies,Male,41,Chicago,Male,Tinder,"['scream', 'movies']","['scream', 'movie']",🤷‍♂️No Clear Signal,
"Obsessed with chocolate, memes, and coffee 🍫😂☕",Non-binary,25,Philadelphia,Non-binary,CMB,"['obsessed', 'chocolate', 'memes', 'coffee']","['obsessed', 'chocolate', 'meme', 'coffee']",🚩Red Flag,"obsessed, coffee, coffee, meme"
"Professional overthinker, amateur optimist.",Female,41,Las Vegas,Female,CMB,"['professional', 'overthinker', 'amateur', 'optimist']","['professional', 'overthinker', 'amateur', 'optimist']",🌿Green Flag,"professional, amateur"
good listener sometimes,Male,39,Philadelphia,Male,Tinder,"['good', 'listener', 'sometimes']","['good', 'listener', 'sometimes']",🌿Green Flag,"listener, sometimes"
Professional napper,Male,36,Chicago,Male,Tinder,"['professional', 'napper']","['professional', 'napper']",🌿Green Flag,professional
Likes travel… but only if there’s WiFi. 🌍📶,Non-binary,42,Philadelphia,Non-binary,Tinder,"['likes', 'travel', 'theres', 'wifi']","['like', 'wifi']",🙂Mixed Flag,like
honestly just here for the memes,Male,24,New York,Male,Bumble,"['honestly', 'memes']","['honestly', 'meme']",🌿Green Flag,meme
"Dog mom, chaos enthusiast",Female,34,Houston,Female,Bumble,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']",🚩Red Flag,"chaos, dog, enthusiast, dog, chaos"
being silly is part of my emotional availability,Male,28,Houston,Male,Hinge,"['silly', 'part', 'emotional', 'availability']","['silly', 'part', 'emotional', 'availability']",🌿Green Flag,emotional
Gamer seeking co-pilot for life’s adventures.,Non-binary,39,Chicago,Non-binary,Bumble,"['gamer', 'seeking', 'copilot', 'lifes', 'adventures']","['gamer', 'seek', 'life', 'adventure']",🌿Green Flag,life
loves parties secretly,Non-binary,40,New York,Non-binary,Tinder,"['loves', 'parties', 'secretly']","['love', 'party', 'secretly']",🌿Green Flag,love
"Let’s build something calm, warm, and wildly fun",Non-binary,23,LA,Non-binary,OkCupid,"['lets', 'build', 'something', 'calm', 'warm', 'wildly', 'fun']","['let', 'build', 'something', 'calm', 'warm', 'wildly', 'fun']",🌿Green Flag,"something, calm, warm"
i scream at games,Female,28,San Fransisco,Female,Hinge,"['scream', 'games']","['scream', 'game']",🤷‍♂️No Clear Signal,
pizza & memes,Female,35,San Fransisco,Female,Hinge,"['pizza', 'memes']","['pizza', 'meme']",🌿Green Flag,"pizza, pizza, meme"
"Gamer, occasionally overreacts.",Male,18,Houston,Male,Hinge,"['gamer', 'occasionally', 'overreacts']","['gamer', 'occasionally', 'overreacts']",🤷‍♂️No Clear Signal,
Obsessed with vintage finds.,Female,39,Philadelphia,Female,CMB,"['obsessed', 'vintage', 'finds']","['obsess', 'vintage', 'find']",🚩Red Flag,obsess
"Party animal, calls it “networking.”",Female,18,LA,Female,Hinge,"['party', 'animal', 'calls', 'networking']","['party', 'animal', 'call', 'network']",🤷‍♂️No Clear Signal,
"Coffee in one hand, chaos in the other.",Non-binary,44,New York,Non-binary,OkCupid,"['coffee', 'one', 'hand', 'chaos']","['coffee', 'one', 'hand', 'chaos']",🚩Red Flag,"chaos, coffee, coffee, chaos"
ask me about my weirdly specific music playlists 🎶,Female,20,Philadelphia,Female,Tinder,"['ask', 'weirdly', 'specific', 'music', 'playlists']","['ask', 'weirdly', 'specific', 'music', 'playlist']",🚩Red Flag,weirdly
Obsessed with sunsets and good wine.,Male,18,Dallas,Male,OkCupid,"['obsessed', 'sunsets', 'good', 'wine']","['obsess', 'sunset', 'good', 'wine']",🚩Red Flag,obsess
bad at math,Female,31,San Fransisco,Female,Tinder,"['bad', 'math']","['bad', 'math']",🚩Red Flag,"bad, bad, bad"
"Sweet chaos, occasionally regretful.",Female,21,Houston,Female,CMB,"['sweet', 'chaos', 'occasionally', 'regretful']","['sweet', 'chaos', 'occasionally', 'regretful']",🚩Red Flag,"chaos, chaos"
"Might ghost you, but I’ll text back when I miss you. 😅",Non-binary,34,Philadelphia,Non-binary,CMB,"['might', 'ghost', 'ill', 'text', 'back', 'miss']","['might', 'ghost', 'text', 'back', 'miss']",🚩Red Flag,"ghost, ghost"
"Yoga enthusiast, coffee enthusiast, life enthusiast.",Non-binary,21,San Fransisco,Non-binary,CMB,"['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']","['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']",🌿Green Flag,"life, coffee, enthusiast, coffee"
"Loves sunsets, long drives, and chocolate.",Female,39,New York,Female,OkCupid,"['loves', 'sunsets', 'long', 'drives', 'chocolate']","['love', 'sunset', 'long', 'drive', 'chocolate']",🌿Green Flag,love
"Loves quiet nights, loud laughs, and tacos.",Female,32,San Fransisco,Female,OkCupid,"['loves', 'quiet', 'nights', 'loud', 'laughs', 'tacos']","['love', 'quiet', 'night', 'loud', 'laugh', 'taco']",🌿Green Flag,"quiet, laugh, love"
loves memes more than humans,Male,29,Dallas,Male,Bumble,"['loves', 'memes', 'humans']","['love', 'meme', 'human']",🌿Green Flag,"human, love, meme, human"
swipe right if you don’t ghost,Male,25,Dallas,Male,OkCupid,"['swipe', 'right', 'dont', 'ghost']","['swipe', 'right', 'ghost']",🚩Red Flag,"ghost, ghost"
"Gamer, foodie, coffee addict.",Male,41,Philadelphia,Male,OkCupid,"['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']",🌿Green Flag,"coffee, coffee"
Coffee addict seeking partner in caffeine.,Non-binary,27,Houston,Non-binary,OkCupid,"['coffee', 'addict', 'seeking', 'partner', 'caffeine']","['coffee', 'addict', 'seek', 'partner', 'caffeine']",🌿Green Flag,"coffee, coffee"
Professional meme sharer,Non-binary,26,Las Vegas,Non-binary,OkCupid,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']",🌿Green Flag,"professional, meme"
Caffeine-dependent disaster,Female,24,Chicago,Female,Bumble,"['caffeinedependent', 'disaster']",['disaster'],🤷‍♂️No Clear Signal,
hi? lol,Non-binary,19,Houston,Non-binary,CMB,"['hi', 'lol']","['hi', 'lol']",🤷‍♂️No Clear Signal,
lololol,Female,18,LA,Female,Bumble,['lololol'],['lololol'],🤷‍♂️No Clear Signal,
work in progress,Female,37,Dallas,Female,Tinder,"['work', 'progress']","['work', 'progress']",🤷‍♂️No Clear Signal,
Flirt level: dangerously charming,Male,20,LA,Male,Tinder,"['flirt', 'level', 'dangerously', 'charming']","['flirt', 'level', 'dangerously', 'charm']",🚩Red Flag,"flirt, flirt"
looking for someone to blame things on,Male,19,LA,Male,Bumble,"['looking', 'someone', 'blame', 'things']","['look', 'someone', 'blame', 'thing']",🚩Red Flag,"blame, look"
"I roast for fun, apologize rarely.",Non-binary,37,Chicago,Non-binary,OkCupid,"['roast', 'fun', 'apologize', 'rarely']","['roast', 'fun', 'apologize', 'rarely']",🌿Green Flag,apologize
I make bad decisions beautifully,Female,39,Dallas,Female,Bumble,"['make', 'bad', 'decisions', 'beautifully']","['make', 'bad', 'decision', 'beautifully']",🚩Red Flag,"bad, bad, bad"
Professional napper,Non-binary,44,LA,Non-binary,Hinge,"['professional', 'napper']","['professional', 'napper']",🌿Green Flag,professional
"I’ll plan everything, then cancel mysteriously.",Male,24,Dallas,Male,Tinder,"['ill', 'plan', 'everything', 'cancel', 'mysteriously']","['plan', 'everything', 'cancel', 'mysteriously']",🤷‍♂️No Clear Signal,
"Music, laughter, and spontaneous fun 🎶😂",Female,37,Chicago,Female,OkCupid,"['music', 'laughter', 'spontaneous', 'fun']","['music', 'laughter', 'spontaneous', 'fun']",🤷‍♂️No Clear Signal,
spontaneous but broke,Female,38,Philadelphia,Female,Hinge,"['spontaneous', 'broke']","['spontaneous', 'break']",🤷‍♂️No Clear Signal,
i binge shows nonstop,Male,21,Philadelphia,Male,OkCupid,"['binge', 'shows', 'nonstop']","['binge', 'show', 'nonstop']",🤷‍♂️No Clear Signal,
you’ll never feel like an afterthought with me,Female,40,Houston,Female,Hinge,"['youll', 'never', 'feel', 'like', 'afterthought']","['never', 'feel', 'like', 'afterthought']",🌿Green Flag,"afterthought, like"
i overreact sometimes,Female,21,San Fransisco,Female,Bumble,"['overreact', 'sometimes']","['overreact', 'sometimes']",🙂Mixed Flag,sometimes
gym and memes,Male,20,LA,Male,Tinder,"['gym', 'memes']","['gym', 'meme']",🌿Green Flag,meme
Loves spontaneous road trips and starlit nights.,Non-binary,45,New York,Non-binary,Bumble,"['loves', 'spontaneous', 'road', 'trips', 'starlit', 'nights']","['love', 'spontaneous', 'road', 'trip', 'starlit', 'night']",🌿Green Flag,love
"Loves road trips, flaky mid-trip.",Non-binary,37,Houston,Non-binary,Bumble,"['loves', 'road', 'trips', 'flaky', 'midtrip']","['love', 'road', 'trip', 'flaky']",🚩Red Flag,"flaky, love"
introvert probs,Non-binary,22,Philadelphia,Non-binary,Bumble,"['introvert', 'probs']","['introvert', 'probs']",🙂Mixed Flag,introvert
Likes dogs more than humans sometimes.,Female,30,LA,Female,CMB,"['likes', 'dogs', 'humans', 'sometimes']","['like', 'dog', 'human', 'sometimes']",🌿Green Flag,"dog, human, dog, sometimes, human, like"
coder not a talker,Non-binary,39,Houston,Non-binary,Hinge,"['coder', 'talker']","['coder', 'talker']",🤷‍♂️No Clear Signal,
"Let’s be real, honest, and probably goofy together",Male,42,Las Vegas,Male,Hinge,"['lets', 'real', 'honest', 'probably', 'goofy', 'together']","['let', 'real', 'honest', 'probably', 'goofy', 'together']",🌿Green Flag,"real, honest, goofy"
Caffeine-fueled overthinker,Male,38,New York,Male,OkCupid,"['caffeinefueled', 'overthinker']",['overthinker'],🤷‍♂️No Clear Signal,
"Coffee addict, flaky.",Male,36,Chicago,Male,CMB,"['coffee', 'addict', 'flaky']","['coffee', 'addict', 'flaky']",🚩Red Flag,"flaky, coffee, coffee"
Will judge your memes silently,Female,43,Chicago,Female,Tinder,"['judge', 'memes', 'silently']","['judge', 'meme', 'silently']",🌿Green Flag,meme
i laugh at bad jokes,Male,23,LA,Male,CMB,"['laugh', 'bad', 'jokes']","['laugh', 'bad', 'joke']",🚩Red Flag,"bad, bad, bad, laugh"
Loves reading… hates your Netflix suggestions. 📖❌,Female,21,LA,Female,CMB,"['loves', 'reading', 'hates', 'netflix', 'suggestions']","['love', 'hat', 'netflix', 'suggestion']",🌿Green Flag,love
"Amateur baker, professional overthinker.",Female,40,New York,Female,OkCupid,"['amateur', 'baker', 'professional', 'overthinker']","['amateur', 'baker', 'professional', 'overthinker']",🌿Green Flag,"professional, amateur"
Hopeless romantic and proud of my chaos 💔😏,Female,23,Chicago,Female,Bumble,"['hopeless', 'romantic', 'proud', 'chaos']","['hopeless', 'romantic', 'proud', 'chaos']",🚩Red Flag,"chaos, romantic, chaos, hopeless"
chaotic but loyal,Female,26,New York,Female,Hinge,"['chaotic', 'loyal']","['chaotic', 'loyal']",🙂Mixed Flag,chaotic
Will judge your Spotify playlist,Female,27,LA,Female,CMB,"['judge', 'spotify', 'playlist']","['judge', 'spotify', 'playlist']",🤷‍♂️No Clear Signal,
naps > anything else,Female,32,Chicago,Female,Hinge,"['naps', 'anything', 'else']","['nap', 'anything', 'else']",🌿Green Flag,nap
coffee forever,Non-binary,39,Philadelphia,Non-binary,Hinge,"['coffee', 'forever']","['coffee', 'forever']",🌿Green Flag,"coffee, coffee"
i’m always down to talk about books or boundaries,Non-binary,20,Dallas,Non-binary,Tinder,"['im', 'always', 'talk', 'books', 'boundaries']","['always', 'talk', 'book', 'boundary']",🌿Green Flag,always
"love a good debate, even if im wrong",Male,38,Philadelphia,Male,Hinge,"['love', 'good', 'debate', 'even', 'im', 'wrong']","['love', 'good', 'debate', 'even', 'im', 'wrong']",🌿Green Flag,love
can cook you soup when you’re sick,Male,32,LA,Male,Bumble,"['cook', 'soup', 'youre', 'sick']","['cook', 'soup', 'sick']",🤷‍♂️No Clear Signal,
naps > work,Male,26,Las Vegas,Male,Hinge,"['naps', 'work']","['nap', 'work']",🌿Green Flag,nap
"Night owl, meme hoarder, overthinker.",Male,42,Dallas,Male,Tinder,"['night', 'owl', 'meme', 'hoarder', 'overthinker']","['night', 'owl', 'meme', 'hoarder', 'overthinker']",🌿Green Flag,meme
single af,Non-binary,31,Houston,Non-binary,CMB,"['single', 'af']","['single', 'af']",🤷‍♂️No Clear Signal,
music & memes forever,Female,40,Philadelphia,Female,Hinge,"['music', 'memes', 'forever']","['music', 'meme', 'forever']",🌿Green Flag,meme
