bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
Currently ignoring adulthood creatively,currently ignoring adulthood creatively,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']"
"Pancakes for breakfast, sarcasm for dinner.",pancakes for breakfast sarcasm for dinner,"['pancakes', 'for', 'breakfast', 'sarcasm', 'for', 'dinner']","['pancakes', 'breakfast', 'sarcasm', 'dinner']","['pancake', 'breakfast', 'sarcasm', 'dinner']"
"Loves photography, forgets to respond.",loves photography forgets to respond,"['loves', 'photography', 'forgets', 'to', 'respond']","['loves', 'photography', 'forgets', 'respond']","['love', 'photography', 'forgets', 'respond']"
love pizza more than ppl,love pizza more than ppl,"['love', 'pizza', 'more', 'than', 'ppl']","['love', 'pizza', 'ppl']","['love', 'pizza', 'ppl']"
messy bun & chaos,messy bun  chaos,"['messy', 'bun', 'chaos']","['messy', 'bun', 'chaos']","['messy', 'bun', 'chaos']"
Beach bum with a love for books.,beach bum with a love for books,"['beach', 'bum', 'with', 'a', 'love', 'for', 'books']","['beach', 'bum', 'love', 'books']","['beach', 'bum', 'love', 'book']"
"Adventure awaits, and I’m ready ✈️🔥",adventure awaits and im ready,"['adventure', 'awaits', 'and', 'im', 'ready']","['adventure', 'awaits', 'im', 'ready']","['adventure', 'awaits', 'ready']"
Loves cooking… hates cleaning. 🍳🧽,loves cooking hates cleaning,"['loves', 'cooking', 'hates', 'cleaning']","['loves', 'cooking', 'hates', 'cleaning']","['love', 'hate', 'clean']"
lazy but cute,lazy but cute,"['lazy', 'but', 'cute']","['lazy', 'cute']","['lazy', 'cute']"
Dog mom looking for dog dad energy,dog mom looking for dog dad energy,"['dog', 'mom', 'looking', 'for', 'dog', 'dad', 'energy']","['dog', 'mom', 'looking', 'dog', 'dad', 'energy']","['dog', 'mom', 'look', 'dog', 'dad', 'energy']"
"I binge, nap, repeat.",i binge nap repeat,"['i', 'binge', 'nap', 'repeat']","['binge', 'nap', 'repeat']","['binge', 'nap', 'repeat']"
"I ghost, but I leave memes",i ghost but i leave memes,"['i', 'ghost', 'but', 'i', 'leave', 'memes']","['ghost', 'leave', 'memes']","['ghost', 'leave', 'meme']"
gym vibes only,gym vibes only,"['gym', 'vibes', 'only']","['gym', 'vibes']","['gym', 'vibe']"
Life’s too short for bad coffee ☕🔥,lifes too short for bad coffee,"['lifes', 'too', 'short', 'for', 'bad', 'coffee']","['lifes', 'short', 'bad', 'coffee']","['life', 'short', 'bad', 'coffee']"
I dance like chaos incarnate,i dance like chaos incarnate,"['i', 'dance', 'like', 'chaos', 'incarnate']","['dance', 'like', 'chaos', 'incarnate']","['dance', 'like', 'chaos', 'incarnate']"
"I overanalyze emojis, texts, life.",i overanalyze emojis texts life,"['i', 'overanalyze', 'emojis', 'texts', 'life']","['overanalyze', 'emojis', 'texts', 'life']","['overanalyze', 'emojis', 'text', 'life']"
my version of fun is laughing till we cry,my version of fun is laughing till we cry,"['my', 'version', 'of', 'fun', 'is', 'laughing', 'till', 'we', 'cry']","['version', 'fun', 'laughing', 'till', 'cry']","['version', 'fun', 'laugh', 'till', 'cry']"
"Obsessed with hiking, street food, and good vibes.",obsessed with hiking street food and good vibes,"['obsessed', 'with', 'hiking', 'street', 'food', 'and', 'good', 'vibes']","['obsessed', 'hiking', 'street', 'food', 'good', 'vibes']","['obsess', 'hike', 'street', 'food', 'good', 'vibe']"
Amateur chef seeking taste tester.,amateur chef seeking taste tester,"['amateur', 'chef', 'seeking', 'taste', 'tester']","['amateur', 'chef', 'seeking', 'taste', 'tester']","['amateur', 'chef', 'seek', 'taste', 'tester']"
loves midnight walks,loves midnight walks,"['loves', 'midnight', 'walks']","['loves', 'midnight', 'walks']","['love', 'midnight', 'walk']"
Loves spontaneous adventures and bad decisions.,loves spontaneous adventures and bad decisions,"['loves', 'spontaneous', 'adventures', 'and', 'bad', 'decisions']","['loves', 'spontaneous', 'adventures', 'bad', 'decisions']","['love', 'spontaneous', 'adventure', 'bad', 'decision']"
might ghost accidentally,might ghost accidentally,"['might', 'ghost', 'accidentally']","['might', 'ghost', 'accidentally']","['might', 'ghost', 'accidentally']"
Beach bum with a love for books and sunsets.,beach bum with a love for books and sunsets,"['beach', 'bum', 'with', 'a', 'love', 'for', 'books', 'and', 'sunsets']","['beach', 'bum', 'love', 'books', 'sunsets']","['beach', 'bum', 'love', 'book', 'sunset']"
pizza addict forever,pizza addict forever,"['pizza', 'addict', 'forever']","['pizza', 'addict', 'forever']","['pizza', 'addict', 'forever']"
no f*ckboys… unless ur hot,no fckboys unless ur hot,"['no', 'fckboys', 'unless', 'ur', 'hot']","['fckboys', 'unless', 'ur', 'hot']","['unless', 'ur', 'hot']"
"Stable job, stable emotions, chaotic playlists",stable job stable emotions chaotic playlists,"['stable', 'job', 'stable', 'emotions', 'chaotic', 'playlists']","['stable', 'job', 'stable', 'emotions', 'chaotic', 'playlists']","['stable', 'job', 'stable', 'emotion', 'chaotic', 'playlist']"
"Flirts like a pro, cooks like a noob",flirts like a pro cooks like a noob,"['flirts', 'like', 'a', 'pro', 'cooks', 'like', 'a', 'noob']","['flirts', 'like', 'pro', 'cooks', 'like', 'noob']","['flirt', 'like', 'pro', 'cook', 'like', 'noob']"
Cooking disasters welcome here. 🍲,cooking disasters welcome here,"['cooking', 'disasters', 'welcome', 'here']","['cooking', 'disasters', 'welcome']","['cook', 'disaster', 'welcome']"
"Cat parent, ghosted recently.",cat parent ghosted recently,"['cat', 'parent', 'ghosted', 'recently']","['cat', 'parent', 'ghosted', 'recently']","['cat', 'parent', 'ghost', 'recently']"
"Love coffee, hate mornings.",love coffee hate mornings,"['love', 'coffee', 'hate', 'mornings']","['love', 'coffee', 'hate', 'mornings']","['love', 'coffee', 'hate', 'morning']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
"Can be sweet, can be savage—depends on my mood.",can be sweet can be savagedepends on my mood,"['can', 'be', 'sweet', 'can', 'be', 'savagedepends', 'on', 'my', 'mood']","['sweet', 'savagedepends', 'mood']","['sweet', 'mood']"
"I’m fun, but I have trust issues.",im fun but i have trust issues,"['im', 'fun', 'but', 'i', 'have', 'trust', 'issues']","['im', 'fun', 'trust', 'issues']","['fun', 'trust', 'issue']"
i talk too much,i talk too much,"['i', 'talk', 'too', 'much']","['talk', 'much']","['talk', 'much']"
"Fluent in sarcasm, memes, and chaos.",fluent in sarcasm memes and chaos,"['fluent', 'in', 'sarcasm', 'memes', 'and', 'chaos']","['fluent', 'sarcasm', 'memes', 'chaos']","['fluent', 'sarcasm', 'meme', 'chaos']"
Can overthink and nap simultaneously,can overthink and nap simultaneously,"['can', 'overthink', 'and', 'nap', 'simultaneously']","['overthink', 'nap', 'simultaneously']","['overthink', 'nap', 'simultaneously']"
Plant collector seeking green thumb friend.,plant collector seeking green thumb friend,"['plant', 'collector', 'seeking', 'green', 'thumb', 'friend']","['plant', 'collector', 'seeking', 'green', 'thumb', 'friend']","['plant', 'collector', 'seek', 'green', 'thumb', 'friend']"
i wear hoodies always,i wear hoodies always,"['i', 'wear', 'hoodies', 'always']","['wear', 'hoodies', 'always']","['wear', 'hoodies', 'always']"
"Amateur musician, karaoke lover.",amateur musician karaoke lover,"['amateur', 'musician', 'karaoke', 'lover']","['amateur', 'musician', 'karaoke', 'lover']","['amateur', 'musician', 'karaoke', 'lover']"
"Professional napper, part-time snack enthusiast 🍕",professional napper parttime snack enthusiast,"['professional', 'napper', 'parttime', 'snack', 'enthusiast']","['professional', 'napper', 'parttime', 'snack', 'enthusiast']","['professional', 'napper', 'snack', 'enthusiast']"
speaks fluent emoji,speaks fluent emoji,"['speaks', 'fluent', 'emoji']","['speaks', 'fluent', 'emoji']","['speaks', 'fluent', 'emoji']"
Looking for someone to argue about Marvel movies with.,looking for someone to argue about marvel movies with,"['looking', 'for', 'someone', 'to', 'argue', 'about', 'marvel', 'movies', 'with']","['looking', 'someone', 'argue', 'marvel', 'movies']","['look', 'someone', 'argue', 'marvel', 'movie']"
I love pets more than people. 🐾,i love pets more than people,"['i', 'love', 'pets', 'more', 'than', 'people']","['love', 'pets', 'people']","['love', 'pet', 'people']"
lazy but cute,lazy but cute,"['lazy', 'but', 'cute']","['lazy', 'cute']","['lazy', 'cute']"
love pizza,love pizza,"['love', 'pizza']","['love', 'pizza']","['love', 'pizza']"
" Wine fan, flaky.",wine fan flaky,"['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']","['wine', 'fan', 'flaky']"
Beach bum in search of the perfect sunset 🌊🌅,beach bum in search of the perfect sunset,"['beach', 'bum', 'in', 'search', 'of', 'the', 'perfect', 'sunset']","['beach', 'bum', 'search', 'perfect', 'sunset']","['beach', 'bum', 'search', 'perfect', 'sunset']"
"Foodie, ignores texts.",foodie ignores texts,"['foodie', 'ignores', 'texts']","['foodie', 'ignores', 'texts']","['foodie', 'ignores', 'texts']"
Amateur painter seeking inspiration and laughter.,amateur painter seeking inspiration and laughter,"['amateur', 'painter', 'seeking', 'inspiration', 'and', 'laughter']","['amateur', 'painter', 'seeking', 'inspiration', 'laughter']","['amateur', 'painter', 'seek', 'inspiration', 'laughter']"
lolol,lolol,['lolol'],['lolol'],['lolol']
"Idk what to say, just don’t be weird",idk what to say just dont be weird,"['idk', 'what', 'to', 'say', 'just', 'dont', 'be', 'weird']","['idk', 'say', 'dont', 'weird']","['idk', 'say', 'weird']"
Can cook 2-minute noodles like a pro,can cook minute noodles like a pro,"['can', 'cook', 'minute', 'noodles', 'like', 'a', 'pro']","['cook', 'minute', 'noodles', 'like', 'pro']","['cook', 'noodle', 'like', 'pro']"
love tacos more than ppl,love tacos more than ppl,"['love', 'tacos', 'more', 'than', 'ppl']","['love', 'tacos', 'ppl']","['love', 'taco', 'ppl']"
binge watcher & eater,binge watcher  eater,"['binge', 'watcher', 'eater']","['binge', 'watcher', 'eater']","['binge', 'watcher', 'eater']"
short temper but loyal af,short temper but loyal af,"['short', 'temper', 'but', 'loyal', 'af']","['short', 'temper', 'loyal', 'af']","['short', 'temper', 'loyal', 'af']"
introvert but social sometimes,introvert but social sometimes,"['introvert', 'but', 'social', 'sometimes']","['introvert', 'social', 'sometimes']","['introvert', 'social', 'sometimes']"
"I overthink, but I try.",i overthink but i try,"['i', 'overthink', 'but', 'i', 'try']","['overthink', 'try']","['overthink', 'try']"
just me,just me,"['just', 'me']",[],[]
Gamer who actually cooks on weekends.,gamer who actually cooks on weekends,"['gamer', 'who', 'actually', 'cooks', 'on', 'weekends']","['gamer', 'actually', 'cooks', 'weekends']","['gamer', 'actually', 'cook', 'weekend']"
just here till i find someone worse,just here till i find someone worse,"['just', 'here', 'till', 'i', 'find', 'someone', 'worse']","['till', 'find', 'someone', 'worse']","['till', 'find', 'someone', 'bad']"
"Amateur painter, full-time daydreamer.",amateur painter fulltime daydreamer,"['amateur', 'painter', 'fulltime', 'daydreamer']","['amateur', 'painter', 'fulltime', 'daydreamer']","['amateur', 'painter', 'daydreamer']"
i scream at movies,i scream at movies,"['i', 'scream', 'at', 'movies']","['scream', 'movies']","['scream', 'movie']"
"Obsessed with chocolate, memes, and coffee 🍫😂☕",obsessed with chocolate memes and coffee,"['obsessed', 'with', 'chocolate', 'memes', 'and', 'coffee']","['obsessed', 'chocolate', 'memes', 'coffee']","['obsessed', 'chocolate', 'meme', 'coffee']"
"Professional overthinker, amateur optimist.",professional overthinker amateur optimist,"['professional', 'overthinker', 'amateur', 'optimist']","['professional', 'overthinker', 'amateur', 'optimist']","['professional', 'overthinker', 'amateur', 'optimist']"
good listener sometimes,good listener sometimes,"['good', 'listener', 'sometimes']","['good', 'listener', 'sometimes']","['good', 'listener', 'sometimes']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
Likes travel… but only if there’s WiFi. 🌍📶,likes travel but only if theres wifi,"['likes', 'travel', 'but', 'only', 'if', 'theres', 'wifi']","['likes', 'travel', 'theres', 'wifi']","['like', 'wifi']"
honestly just here for the memes,honestly just here for the memes,"['honestly', 'just', 'here', 'for', 'the', 'memes']","['honestly', 'memes']","['honestly', 'meme']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
being silly is part of my emotional availability,being silly is part of my emotional availability,"['being', 'silly', 'is', 'part', 'of', 'my', 'emotional', 'availability']","['silly', 'part', 'emotional', 'availability']","['silly', 'part', 'emotional', 'availability']"
Gamer seeking co-pilot for life’s adventures.,gamer seeking copilot for lifes adventures,"['gamer', 'seeking', 'copilot', 'for', 'lifes', 'adventures']","['gamer', 'seeking', 'copilot', 'lifes', 'adventures']","['gamer', 'seek', 'life', 'adventure']"
loves parties secretly,loves parties secretly,"['loves', 'parties', 'secretly']","['loves', 'parties', 'secretly']","['love', 'party', 'secretly']"
"Let’s build something calm, warm, and wildly fun",lets build something calm warm and wildly fun,"['lets', 'build', 'something', 'calm', 'warm', 'and', 'wildly', 'fun']","['lets', 'build', 'something', 'calm', 'warm', 'wildly', 'fun']","['let', 'build', 'something', 'calm', 'warm', 'wildly', 'fun']"
i scream at games,i scream at games,"['i', 'scream', 'at', 'games']","['scream', 'games']","['scream', 'game']"
pizza & memes,pizza  memes,"['pizza', 'memes']","['pizza', 'memes']","['pizza', 'meme']"
"Gamer, occasionally overreacts.",gamer occasionally overreacts,"['gamer', 'occasionally', 'overreacts']","['gamer', 'occasionally', 'overreacts']","['gamer', 'occasionally', 'overreacts']"
Obsessed with vintage finds.,obsessed with vintage finds,"['obsessed', 'with', 'vintage', 'finds']","['obsessed', 'vintage', 'finds']","['obsess', 'vintage', 'find']"
"Party animal, calls it “networking.”",party animal calls it networking,"['party', 'animal', 'calls', 'it', 'networking']","['party', 'animal', 'calls', 'networking']","['party', 'animal', 'call', 'network']"
"Coffee in one hand, chaos in the other.",coffee in one hand chaos in the other,"['coffee', 'in', 'one', 'hand', 'chaos', 'in', 'the', 'other']","['coffee', 'one', 'hand', 'chaos']","['coffee', 'one', 'hand', 'chaos']"
ask me about my weirdly specific music playlists 🎶,ask me about my weirdly specific music playlists,"['ask', 'me', 'about', 'my', 'weirdly', 'specific', 'music', 'playlists']","['ask', 'weirdly', 'specific', 'music', 'playlists']","['ask', 'weirdly', 'specific', 'music', 'playlist']"
Obsessed with sunsets and good wine.,obsessed with sunsets and good wine,"['obsessed', 'with', 'sunsets', 'and', 'good', 'wine']","['obsessed', 'sunsets', 'good', 'wine']","['obsess', 'sunset', 'good', 'wine']"
bad at math,bad at math,"['bad', 'at', 'math']","['bad', 'math']","['bad', 'math']"
"Sweet chaos, occasionally regretful.",sweet chaos occasionally regretful,"['sweet', 'chaos', 'occasionally', 'regretful']","['sweet', 'chaos', 'occasionally', 'regretful']","['sweet', 'chaos', 'occasionally', 'regretful']"
"Might ghost you, but I’ll text back when I miss you. 😅",might ghost you but ill text back when i miss you,"['might', 'ghost', 'you', 'but', 'ill', 'text', 'back', 'when', 'i', 'miss', 'you']","['might', 'ghost', 'ill', 'text', 'back', 'miss']","['might', 'ghost', 'text', 'back', 'miss']"
"Yoga enthusiast, coffee enthusiast, life enthusiast.",yoga enthusiast coffee enthusiast life enthusiast,"['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']","['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']","['yoga', 'enthusiast', 'coffee', 'enthusiast', 'life', 'enthusiast']"
"Loves sunsets, long drives, and chocolate.",loves sunsets long drives and chocolate,"['loves', 'sunsets', 'long', 'drives', 'and', 'chocolate']","['loves', 'sunsets', 'long', 'drives', 'chocolate']","['love', 'sunset', 'long', 'drive', 'chocolate']"
"Loves quiet nights, loud laughs, and tacos.",loves quiet nights loud laughs and tacos,"['loves', 'quiet', 'nights', 'loud', 'laughs', 'and', 'tacos']","['loves', 'quiet', 'nights', 'loud', 'laughs', 'tacos']","['love', 'quiet', 'night', 'loud', 'laugh', 'taco']"
loves memes more than humans,loves memes more than humans,"['loves', 'memes', 'more', 'than', 'humans']","['loves', 'memes', 'humans']","['love', 'meme', 'human']"
swipe right if you don’t ghost,swipe right if you dont ghost,"['swipe', 'right', 'if', 'you', 'dont', 'ghost']","['swipe', 'right', 'dont', 'ghost']","['swipe', 'right', 'ghost']"
"Gamer, foodie, coffee addict.",gamer foodie coffee addict,"['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']"
Coffee addict seeking partner in caffeine.,coffee addict seeking partner in caffeine,"['coffee', 'addict', 'seeking', 'partner', 'in', 'caffeine']","['coffee', 'addict', 'seeking', 'partner', 'caffeine']","['coffee', 'addict', 'seek', 'partner', 'caffeine']"
Professional meme sharer,professional meme sharer,"['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']","['professional', 'meme', 'sharer']"
Caffeine-dependent disaster,caffeinedependent disaster,"['caffeinedependent', 'disaster']","['caffeinedependent', 'disaster']",['disaster']
hi? lol,hi lol,"['hi', 'lol']","['hi', 'lol']","['hi', 'lol']"
lololol,lololol,['lololol'],['lololol'],['lololol']
work in progress,work in progress,"['work', 'in', 'progress']","['work', 'progress']","['work', 'progress']"
Flirt level: dangerously charming,flirt level dangerously charming,"['flirt', 'level', 'dangerously', 'charming']","['flirt', 'level', 'dangerously', 'charming']","['flirt', 'level', 'dangerously', 'charm']"
looking for someone to blame things on,looking for someone to blame things on,"['looking', 'for', 'someone', 'to', 'blame', 'things', 'on']","['looking', 'someone', 'blame', 'things']","['look', 'someone', 'blame', 'thing']"
"I roast for fun, apologize rarely.",i roast for fun apologize rarely,"['i', 'roast', 'for', 'fun', 'apologize', 'rarely']","['roast', 'fun', 'apologize', 'rarely']","['roast', 'fun', 'apologize', 'rarely']"
I make bad decisions beautifully,i make bad decisions beautifully,"['i', 'make', 'bad', 'decisions', 'beautifully']","['make', 'bad', 'decisions', 'beautifully']","['make', 'bad', 'decision', 'beautifully']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
"I’ll plan everything, then cancel mysteriously.",ill plan everything then cancel mysteriously,"['ill', 'plan', 'everything', 'then', 'cancel', 'mysteriously']","['ill', 'plan', 'everything', 'cancel', 'mysteriously']","['plan', 'everything', 'cancel', 'mysteriously']"
"Music, laughter, and spontaneous fun 🎶😂",music laughter and spontaneous fun,"['music', 'laughter', 'and', 'spontaneous', 'fun']","['music', 'laughter', 'spontaneous', 'fun']","['music', 'laughter', 'spontaneous', 'fun']"
spontaneous but broke,spontaneous but broke,"['spontaneous', 'but', 'broke']","['spontaneous', 'broke']","['spontaneous', 'break']"
i binge shows nonstop,i binge shows nonstop,"['i', 'binge', 'shows', 'nonstop']","['binge', 'shows', 'nonstop']","['binge', 'show', 'nonstop']"
you’ll never feel like an afterthought with me,youll never feel like an afterthought with me,"['youll', 'never', 'feel', 'like', 'an', 'afterthought', 'with', 'me']","['youll', 'never', 'feel', 'like', 'afterthought']","['never', 'feel', 'like', 'afterthought']"
i overreact sometimes,i overreact sometimes,"['i', 'overreact', 'sometimes']","['overreact', 'sometimes']","['overreact', 'sometimes']"
gym and memes,gym and memes,"['gym', 'and', 'memes']","['gym', 'memes']","['gym', 'meme']"
Loves spontaneous road trips and starlit nights.,loves spontaneous road trips and starlit nights,"['loves', 'spontaneous', 'road', 'trips', 'and', 'starlit', 'nights']","['loves', 'spontaneous', 'road', 'trips', 'starlit', 'nights']","['love', 'spontaneous', 'road', 'trip', 'starlit', 'night']"
"Loves road trips, flaky mid-trip.",loves road trips flaky midtrip,"['loves', 'road', 'trips', 'flaky', 'midtrip']","['loves', 'road', 'trips', 'flaky', 'midtrip']","['love', 'road', 'trip', 'flaky']"
introvert probs,introvert probs,"['introvert', 'probs']","['introvert', 'probs']","['introvert', 'probs']"
Likes dogs more than humans sometimes.,likes dogs more than humans sometimes,"['likes', 'dogs', 'more', 'than', 'humans', 'sometimes']","['likes', 'dogs', 'humans', 'sometimes']","['like', 'dog', 'human', 'sometimes']"
coder not a talker,coder not a talker,"['coder', 'not', 'a', 'talker']","['coder', 'talker']","['coder', 'talker']"
"Let’s be real, honest, and probably goofy together",lets be real honest and probably goofy together,"['lets', 'be', 'real', 'honest', 'and', 'probably', 'goofy', 'together']","['lets', 'real', 'honest', 'probably', 'goofy', 'together']","['let', 'real', 'honest', 'probably', 'goofy', 'together']"
Caffeine-fueled overthinker,caffeinefueled overthinker,"['caffeinefueled', 'overthinker']","['caffeinefueled', 'overthinker']",['overthinker']
"Coffee addict, flaky.",coffee addict flaky,"['coffee', 'addict', 'flaky']","['coffee', 'addict', 'flaky']","['coffee', 'addict', 'flaky']"
Will judge your memes silently,will judge your memes silently,"['will', 'judge', 'your', 'memes', 'silently']","['judge', 'memes', 'silently']","['judge', 'meme', 'silently']"
i laugh at bad jokes,i laugh at bad jokes,"['i', 'laugh', 'at', 'bad', 'jokes']","['laugh', 'bad', 'jokes']","['laugh', 'bad', 'joke']"
Loves reading… hates your Netflix suggestions. 📖❌,loves reading hates your netflix suggestions,"['loves', 'reading', 'hates', 'your', 'netflix', 'suggestions']","['loves', 'reading', 'hates', 'netflix', 'suggestions']","['love', 'hat', 'netflix', 'suggestion']"
"Amateur baker, professional overthinker.",amateur baker professional overthinker,"['amateur', 'baker', 'professional', 'overthinker']","['amateur', 'baker', 'professional', 'overthinker']","['amateur', 'baker', 'professional', 'overthinker']"
Hopeless romantic and proud of my chaos 💔😏,hopeless romantic and proud of my chaos,"['hopeless', 'romantic', 'and', 'proud', 'of', 'my', 'chaos']","['hopeless', 'romantic', 'proud', 'chaos']","['hopeless', 'romantic', 'proud', 'chaos']"
chaotic but loyal,chaotic but loyal,"['chaotic', 'but', 'loyal']","['chaotic', 'loyal']","['chaotic', 'loyal']"
Will judge your Spotify playlist,will judge your spotify playlist,"['will', 'judge', 'your', 'spotify', 'playlist']","['judge', 'spotify', 'playlist']","['judge', 'spotify', 'playlist']"
naps > anything else,naps  anything else,"['naps', 'anything', 'else']","['naps', 'anything', 'else']","['nap', 'anything', 'else']"
coffee forever,coffee forever,"['coffee', 'forever']","['coffee', 'forever']","['coffee', 'forever']"
i’m always down to talk about books or boundaries,im always down to talk about books or boundaries,"['im', 'always', 'down', 'to', 'talk', 'about', 'books', 'or', 'boundaries']","['im', 'always', 'talk', 'books', 'boundaries']","['always', 'talk', 'book', 'boundary']"
"love a good debate, even if im wrong",love a good debate even if im wrong,"['love', 'a', 'good', 'debate', 'even', 'if', 'im', 'wrong']","['love', 'good', 'debate', 'even', 'im', 'wrong']","['love', 'good', 'debate', 'even', 'im', 'wrong']"
can cook you soup when you’re sick,can cook you soup when youre sick,"['can', 'cook', 'you', 'soup', 'when', 'youre', 'sick']","['cook', 'soup', 'youre', 'sick']","['cook', 'soup', 'sick']"
naps > work,naps  work,"['naps', 'work']","['naps', 'work']","['nap', 'work']"
"Night owl, meme hoarder, overthinker.",night owl meme hoarder overthinker,"['night', 'owl', 'meme', 'hoarder', 'overthinker']","['night', 'owl', 'meme', 'hoarder', 'overthinker']","['night', 'owl', 'meme', 'hoarder', 'overthinker']"
single af,single af,"['single', 'af']","['single', 'af']","['single', 'af']"
music & memes forever,music  memes forever,"['music', 'memes', 'forever']","['music', 'memes', 'forever']","['music', 'meme', 'forever']"
"Amateur baker, dessert lover.",amateur baker dessert lover,"['amateur', 'baker', 'dessert', 'lover']","['amateur', 'baker', 'dessert', 'lover']","['amateur', 'baker', 'dessert', 'lover']"
Beach walker and ice cream chaser.,beach walker and ice cream chaser,"['beach', 'walker', 'and', 'ice', 'cream', 'chaser']","['beach', 'walker', 'ice', 'cream', 'chaser']","['beach', 'walker', 'ice', 'cream', 'chaser']"
i cry when happy,i cry when happy,"['i', 'cry', 'when', 'happy']","['cry', 'happy']","['cry', 'happy']"
